date,DC_V,DC_A,DC_W,AC_V_RS,AC_V_ST,AC_V_TR,AC_A_R,AC_A_S,AC_A_T,AC_W,AC_TOT,AC_FREQ,SOL_RAD_SLOPE,SOL_RAD_LEVEL,TMP_MODU,TMP_CLI
2022-03-02 06:40:00,342.5,2.6,0.94,385.64,387.84,386.38,1.7,8.8,8.3,4.2,62440.91,60.0,0.0,0.0,1.100000381,2.8
2022-03-02 06:55:00,545.5,2.9,1.65,384.92,387.42,385.72,1.4,8.8,8.5,4.17,62440.91,59.9,0.0,0.0,1.100000381,2.7
2022-03-02 07:00:00,600.5,3.0,1.89,385.74,388.04,386.94,1.4,8.7,8.4,4.14,62440.91,59.9,0.0,9.06,1.0,2.7
2022-03-02 07:05:00,613.5,3.8,2.32,384.48,386.58,385.48,1.2,8.9,8.6,4.17,62440.91,59.9,11.81,14.57,1.200000763,2.8
2022-03-02 07:10:00,643.5,4.7,3.08,385.18,387.58,386.33,1.2,9.2,9.1,4.35,62440.91,59.9,22.05,25.2,1.399999619,2.8
2022-03-02 07:15:00,656.0,6.6,4.41,385.2,387.7,386.4,1.1,10.7,10.7,5.03,62440.91,59.9,40.16,44.89,1.700000763,2.8
2022-03-02 07:20:00,651.0,8.1,5.3,385.04,387.57,386.17,1.1,12.3,12.3,5.74,62441.110000000015,59.9,51.19,56.31,2.0,2.8
2022-03-02 07:25:00,673.0,10.0,6.79,385.92,388.97,387.48,0.8,14.9,15.1,6.9,62441.91,59.9,69.3,75.99,2.5,2.9
2022-03-02 07:30:00,668.0,11.6,7.77,384.56,387.76,386.36,1.0,17.1,17.3,7.91,62442.20999999999,59.9,81.51,88.99,2.899999619,3.1
2022-03-02 07:35:00,664.5,13.8,9.23,383.52,386.42,385.02,1.5,20.3,20.6,9.44,62443.110000000015,60.0,99.62,108.28,3.600000381,3.2
2022-03-02 07:40:00,666.0,15.2,10.19,383.34,386.81,384.92,1.9,22.4,22.7,10.47,62443.91,60.0,111.43,120.88,3.899999619,3.1
2022-03-02 07:45:00,662.0,17.6,11.69,384.58,387.98,386.27,2.8,25.7,26.2,12.22,62444.91,59.9,131.12,142.14,4.700000763,3.2
2022-03-02 07:50:00,656.0,19.2,12.67,383.62,386.96,385.28,3.5,27.9,28.5,13.35,62445.91,59.9,143.32,155.53,5.200000763,3.3
2022-03-02 07:55:00,654.0,21.5,14.09,383.68,387.68,385.78,4.5,31.2,31.8,15.06,62447.20999999999,59.9,162.23,175.61,5.899999619,3.5
2022-03-02 08:00:00,657.0,23.2,15.23,384.28,388.34,385.94,5.3,33.5,34.3,16.33,62448.20999999999,59.9,176.4,191.36,6.200000763,3.6
2022-03-02 08:05:00,651.5,25.3,16.56,384.88,388.82,386.62,6.9,36.6,37.5,18.12,62449.91,59.9,195.69,211.05,7.200000763,3.8
2022-03-02 08:10:00,647.5,26.9,17.5,387.72,391.82,389.82,7.4,38.3,39.4,19.19,62451.20999999999,60.0,208.29,224.83,7.799999237,3.9
2022-03-02 08:15:00,646.5,28.9,18.75,386.58,390.88,388.58,8.5,41.4,42.8,20.84,62453.20999999999,59.9,226.8,244.13,8.600000381,4.2
2022-03-02 08:20:00,643.5,30.2,19.45,386.58,391.18,388.65,10.0,42.7,44.2,21.79,62454.610000000015,60.0,237.04,255.94,9.299999237,4.4
2022-03-02 08:25:00,639.0,31.9,20.52,382.48,386.94,384.64,11.4,45.3,47.1,23.1,62456.91,60.0,257.51,273.26,10.29999924,4.6
2022-03-02 08:30:00,637.5,33.2,21.27,384.85,389.28,386.65,10.5,47.5,49.3,24.01,62458.41,60.0,284.68,287.83,10.70000076,4.6
2022-03-02 08:35:00,631.5,35.1,22.29,385.14,389.62,386.98,15.1,48.1,50.2,25.39,62460.91,60.0,308.7,327.6,11.79999924,4.8
2022-03-02 08:40:00,615.5,37.3,22.87,383.42,387.84,385.44,13.0,51.5,53.5,26.31,62462.70999999999,59.9,320.91,340.2,12.5,5.1
2022-03-02 08:45:00,610.0,39.7,24.0,383.98,388.37,385.52,11.1,54.7,56.5,27.3,62465.32000000001,60.0,342.56,366.19,13.5,5.4
2022-03-02 08:50:00,614.5,39.4,24.69,384.37,388.42,386.04,15.7,54.6,56.7,28.37,62467.20999999999,59.9,355.56,379.58,14.20000076,5.6
