
###################################################################
###################################################################
###################################################################

Current time: 2023-11-20 21:18:03.579204

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 397.3643, Second Loss: -77777.0000, Val Loss: 342.8941 [(kW/hour)^2], MinVal : 342.8940734863281
Epoch [2/2000], First Loss: 394.9992, Second Loss: -77777.0000, Val Loss: 340.8571 [(kW/hour)^2], MinVal : 340.8570556640625
Epoch [3/2000], First Loss: 392.6850, Second Loss: -77777.0000, Val Loss: 338.7458 [(kW/hour)^2], MinVal : 338.7458190917969
Epoch [4/2000], First Loss: 390.2848, Second Loss: -77777.0000, Val Loss: 336.4352 [(kW/hour)^2], MinVal : 336.4352111816406
Epoch [5/2000], First Loss: 387.6575, Second Loss: -77777.0000, Val Loss: 333.7747 [(kW/hour)^2], MinVal : 333.7747497558594
Epoch [6/2000], First Loss: 384.6342, Second Loss: -77777.0000, Val Loss: 330.5382 [(kW/hour)^2], MinVal : 330.5382385253906
Epoch [7/2000], First Loss: 380.9584, Second Loss: -77777.0000, Val Loss: 326.3639 [(kW/hour)^2], MinVal : 326.3638916015625
Epoch [8/2000], First Loss: 376.2220, Second Loss: -77777.0000, Val Loss: 320.6649 [(kW/hour)^2], MinVal : 320.6649475097656
Epoch [9/2000], First Loss: 369.7589, Second Loss: -77777.0000, Val Loss: 312.5115 [(kW/hour)^2], MinVal : 312.5115051269531
Epoch [10/2000], First Loss: 360.5059, Second Loss: -77777.0000, Val Loss: 300.6893 [(kW/hour)^2], MinVal : 300.6893005371094
Epoch [11/2000], First Loss: 347.0378, Second Loss: -77777.0000, Val Loss: 284.7549 [(kW/hour)^2], MinVal : 284.7549133300781
Epoch [12/2000], First Loss: 328.6753, Second Loss: -77777.0000, Val Loss: 266.9655 [(kW/hour)^2], MinVal : 266.9655456542969
Epoch [13/2000], First Loss: 307.6867, Second Loss: -77777.0000, Val Loss: 251.3056 [(kW/hour)^2], MinVal : 251.30555725097656
Epoch [14/2000], First Loss: 288.5336, Second Loss: -77777.0000, Val Loss: 239.8507 [(kW/hour)^2], MinVal : 239.85072326660156
Epoch [15/2000], First Loss: 273.9103, Second Loss: -77777.0000, Val Loss: 231.7401 [(kW/hour)^2], MinVal : 231.7401123046875
Epoch [16/2000], First Loss: 263.1584, Second Loss: -77777.0000, Val Loss: 225.4807 [(kW/hour)^2], MinVal : 225.48072814941406
Epoch [17/2000], First Loss: 254.6477, Second Loss: -77777.0000, Val Loss: 220.2450 [(kW/hour)^2], MinVal : 220.24497985839844
Epoch [18/2000], First Loss: 247.4268, Second Loss: -77777.0000, Val Loss: 215.7720 [(kW/hour)^2], MinVal : 215.7720489501953
Epoch [19/2000], First Loss: 241.1401, Second Loss: -77777.0000, Val Loss: 211.9852 [(kW/hour)^2], MinVal : 211.98519897460938
Epoch [20/2000], First Loss: 235.6674, Second Loss: -77777.0000, Val Loss: 208.8135 [(kW/hour)^2], MinVal : 208.81346130371094
Epoch [21/2000], First Loss: 230.9357, Second Loss: -77777.0000, Val Loss: 206.1781 [(kW/hour)^2], MinVal : 206.17808532714844
Epoch [22/2000], First Loss: 226.8612, Second Loss: -77777.0000, Val Loss: 204.0033 [(kW/hour)^2], MinVal : 204.00331115722656
Epoch [23/2000], First Loss: 223.3632, Second Loss: -77777.0000, Val Loss: 202.2258 [(kW/hour)^2], MinVal : 202.22576904296875
Epoch [24/2000], First Loss: 220.3765, Second Loss: -77777.0000, Val Loss: 200.7828 [(kW/hour)^2], MinVal : 200.78277587890625
Epoch [25/2000], First Loss: 217.8400, Second Loss: -77777.0000, Val Loss: 199.6276 [(kW/hour)^2], MinVal : 199.62762451171875
Epoch [26/2000], First Loss: 215.7081, Second Loss: -77777.0000, Val Loss: 198.6940 [(kW/hour)^2], MinVal : 198.69398498535156
Epoch [27/2000], First Loss: 213.9173, Second Loss: -77777.0000, Val Loss: 197.9257 [(kW/hour)^2], MinVal : 197.92572021484375
Epoch [28/2000], First Loss: 212.3912, Second Loss: -77777.0000, Val Loss: 197.2425 [(kW/hour)^2], MinVal : 197.2424774169922
Epoch [29/2000], First Loss: 211.0442, Second Loss: -77777.0000, Val Loss: 196.6617 [(kW/hour)^2], MinVal : 196.66172790527344
Epoch [30/2000], First Loss: 209.8613, Second Loss: -77777.0000, Val Loss: 196.0882 [(kW/hour)^2], MinVal : 196.08819580078125
