
###################################################################
###################################################################
###################################################################

Current time: 2023-11-13 20:59:01.725422

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageLR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 50568


###################################################################
###################################################################
###################################################################

Current time: 2023-11-13 21:52:07.074808

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageLR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 50568

Epoch [1/2000], First Loss: 395.9742, Second Loss: -77777.0000, Val Loss: 341.7582 [(kW/hour)^2], MinVal : 341.7582092285156
Epoch [2/2000], First Loss: 393.7021, Second Loss: -77777.0000, Val Loss: 339.7493 [(kW/hour)^2], MinVal : 339.74932861328125
Epoch [3/2000], First Loss: 391.4134, Second Loss: -77777.0000, Val Loss: 337.6196 [(kW/hour)^2], MinVal : 337.6195983886719
Epoch [4/2000], First Loss: 388.9863, Second Loss: -77777.0000, Val Loss: 335.2588 [(kW/hour)^2], MinVal : 335.2587585449219
Epoch [5/2000], First Loss: 386.2951, Second Loss: -77777.0000, Val Loss: 332.5306 [(kW/hour)^2], MinVal : 332.5306091308594
Epoch [6/2000], First Loss: 383.1858, Second Loss: -77777.0000, Val Loss: 329.2322 [(kW/hour)^2], MinVal : 329.232177734375
Epoch [7/2000], First Loss: 379.4269, Second Loss: -77777.0000, Val Loss: 325.0503 [(kW/hour)^2], MinVal : 325.0502624511719
Epoch [8/2000], First Loss: 374.6624, Second Loss: -77777.0000, Val Loss: 319.4724 [(kW/hour)^2], MinVal : 319.4724426269531
Epoch [9/2000], First Loss: 368.3071, Second Loss: -77777.0000, Val Loss: 311.6399 [(kW/hour)^2], MinVal : 311.6399230957031
Epoch [10/2000], First Loss: 359.3764, Second Loss: -77777.0000, Val Loss: 300.3296 [(kW/hour)^2], MinVal : 300.3295593261719
Epoch [11/2000], First Loss: 346.4358, Second Loss: -77777.0000, Val Loss: 284.9530 [(kW/hour)^2], MinVal : 284.9530334472656
Epoch [12/2000], First Loss: 328.6669, Second Loss: -77777.0000, Val Loss: 267.7115 [(kW/hour)^2], MinVal : 267.7115173339844
Epoch [13/2000], First Loss: 308.3475, Second Loss: -77777.0000, Val Loss: 252.3690 [(kW/hour)^2], MinVal : 252.36904907226562
Epoch [14/2000], First Loss: 289.7390, Second Loss: -77777.0000, Val Loss: 240.2742 [(kW/hour)^2], MinVal : 240.27415466308594
Epoch [15/2000], First Loss: 274.6035, Second Loss: -77777.0000, Val Loss: 230.7297 [(kW/hour)^2], MinVal : 230.7296600341797
