
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 09:16:32.402310

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageLR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 50568

Epoch [1/2000], First Loss: 397.5907, Second Loss: -77777.0000, Val Loss: 343.0579 [(kW/hour)^2], MinVal : 343.0578918457031
Epoch [2/2000], First Loss: 395.1860, Second Loss: -77777.0000, Val Loss: 340.9726 [(kW/hour)^2], MinVal : 340.9725646972656
Epoch [3/2000], First Loss: 392.8120, Second Loss: -77777.0000, Val Loss: 338.7876 [(kW/hour)^2], MinVal : 338.78759765625
Epoch [4/2000], First Loss: 390.3251, Second Loss: -77777.0000, Val Loss: 336.3757 [(kW/hour)^2], MinVal : 336.3757019042969
Epoch [5/2000], First Loss: 387.5807, Second Loss: -77777.0000, Val Loss: 333.5773 [(kW/hour)^2], MinVal : 333.5772705078125
Epoch [6/2000], First Loss: 384.3979, Second Loss: -77777.0000, Val Loss: 330.1662 [(kW/hour)^2], MinVal : 330.1661682128906
Epoch [7/2000], First Loss: 380.5201, Second Loss: -77777.0000, Val Loss: 325.7987 [(kW/hour)^2], MinVal : 325.7987060546875
Epoch [8/2000], First Loss: 375.5569, Second Loss: -77777.0000, Val Loss: 319.9286 [(kW/hour)^2], MinVal : 319.92864990234375
Epoch [9/2000], First Loss: 368.8865, Second Loss: -77777.0000, Val Loss: 311.6642 [(kW/hour)^2], MinVal : 311.66424560546875
Epoch [10/2000], First Loss: 359.4856, Second Loss: -77777.0000, Val Loss: 299.7157 [(kW/hour)^2], MinVal : 299.7157287597656
Epoch [11/2000], First Loss: 345.8419, Second Loss: -77777.0000, Val Loss: 283.2483 [(kW/hour)^2], MinVal : 283.2482604980469
Epoch [12/2000], First Loss: 326.8360, Second Loss: -77777.0000, Val Loss: 264.1897 [(kW/hour)^2], MinVal : 264.189697265625
Epoch [13/2000], First Loss: 304.3596, Second Loss: -77777.0000, Val Loss: 246.9210 [(kW/hour)^2], MinVal : 246.92098999023438
Epoch [14/2000], First Loss: 283.3226, Second Loss: -77777.0000, Val Loss: 233.7755 [(kW/hour)^2], MinVal : 233.77545166015625
Epoch [15/2000], First Loss: 266.6422, Second Loss: -77777.0000, Val Loss: 224.2935 [(kW/hour)^2], MinVal : 224.29347229003906
Epoch [16/2000], First Loss: 254.0319, Second Loss: -77777.0000, Val Loss: 217.4309 [(kW/hour)^2], MinVal : 217.43089294433594
Epoch [17/2000], First Loss: 244.4335, Second Loss: -77777.0000, Val Loss: 212.2454 [(kW/hour)^2], MinVal : 212.2454071044922
Epoch [18/2000], First Loss: 236.8777, Second Loss: -77777.0000, Val Loss: 208.1656 [(kW/hour)^2], MinVal : 208.16558837890625
Epoch [19/2000], First Loss: 230.7013, Second Loss: -77777.0000, Val Loss: 204.8926 [(kW/hour)^2], MinVal : 204.89259338378906
Epoch [20/2000], First Loss: 225.5406, Second Loss: -77777.0000, Val Loss: 202.2510 [(kW/hour)^2], MinVal : 202.25103759765625
Epoch [21/2000], First Loss: 221.1835, Second Loss: -77777.0000, Val Loss: 200.1349 [(kW/hour)^2], MinVal : 200.13494873046875
Epoch [22/2000], First Loss: 217.4910, Second Loss: -77777.0000, Val Loss: 198.4693 [(kW/hour)^2], MinVal : 198.46934509277344
Epoch [23/2000], First Loss: 214.3889, Second Loss: -77777.0000, Val Loss: 197.1720 [(kW/hour)^2], MinVal : 197.1719512939453
Epoch [24/2000], First Loss: 211.8029, Second Loss: -77777.0000, Val Loss: 196.1982 [(kW/hour)^2], MinVal : 196.19822692871094
Epoch [25/2000], First Loss: 209.6871, Second Loss: -77777.0000, Val Loss: 195.4150 [(kW/hour)^2], MinVal : 195.4149627685547
Epoch [26/2000], First Loss: 207.9184, Second Loss: -77777.0000, Val Loss: 194.7693 [(kW/hour)^2], MinVal : 194.76925659179688
Epoch [27/2000], First Loss: 206.4059, Second Loss: -77777.0000, Val Loss: 194.1636 [(kW/hour)^2], MinVal : 194.16355895996094
Epoch [28/2000], First Loss: 205.1206, Second Loss: -77777.0000, Val Loss: 193.6746 [(kW/hour)^2], MinVal : 193.674560546875
Epoch [29/2000], First Loss: 203.9040, Second Loss: -77777.0000, Val Loss: 193.0444 [(kW/hour)^2], MinVal : 193.04444885253906
Epoch [30/2000], First Loss: 202.8366, Second Loss: -77777.0000, Val Loss: 192.3629 [(kW/hour)^2], MinVal : 192.36293029785156
Epoch [31/2000], First Loss: 201.6283, Second Loss: -77777.0000, Val Loss: 191.8160 [(kW/hour)^2], MinVal : 191.81597900390625
Epoch [32/2000], First Loss: 200.8165, Second Loss: -77777.0000, Val Loss: 191.0950 [(kW/hour)^2], MinVal : 191.09495544433594
Epoch [33/2000], First Loss: 199.9350, Second Loss: -77777.0000, Val Loss: 190.2728 [(kW/hour)^2], MinVal : 190.27279663085938
Epoch [34/2000], First Loss: 198.9294, Second Loss: -77777.0000, Val Loss: 189.7157 [(kW/hour)^2], MinVal : 189.7156982421875
Epoch [35/2000], First Loss: 198.1282, Second Loss: -77777.0000, Val Loss: 188.7909 [(kW/hour)^2], MinVal : 188.7908935546875
Epoch [36/2000], First Loss: 197.1953, Second Loss: -77777.0000, Val Loss: 187.8506 [(kW/hour)^2], MinVal : 187.85057067871094
Epoch [37/2000], First Loss: 196.2362, Second Loss: -77777.0000, Val Loss: 187.0382 [(kW/hour)^2], MinVal : 187.0381622314453
Epoch [38/2000], First Loss: 195.5758, Second Loss: -77777.0000, Val Loss: 186.2555 [(kW/hour)^2], MinVal : 186.2555389404297
Epoch [39/2000], First Loss: 194.9987, Second Loss: -77777.0000, Val Loss: 186.0109 [(kW/hour)^2], MinVal : 186.0109100341797
Epoch [40/2000], First Loss: 194.4411, Second Loss: -77777.0000, Val Loss: 185.3130 [(kW/hour)^2], MinVal : 185.3130340576172
Epoch [41/2000], First Loss: 193.9167, Second Loss: -77777.0000, Val Loss: 184.8171 [(kW/hour)^2], MinVal : 184.8170928955078
Epoch [42/2000], First Loss: 193.2056, Second Loss: -77777.0000, Val Loss: 184.3817 [(kW/hour)^2], MinVal : 184.38168334960938
Epoch [43/2000], First Loss: 192.8224, Second Loss: -77777.0000, Val Loss: 183.6886 [(kW/hour)^2], MinVal : 183.6885986328125
Epoch [44/2000], First Loss: 192.4057, Second Loss: -77777.0000, Val Loss: 183.4639 [(kW/hour)^2], MinVal : 183.46389770507812
