
###################################################################
###################################################################
###################################################################

Current time: 2023-11-13 20:59:26.076688

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRL


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 201480


###################################################################
###################################################################
###################################################################

Current time: 2023-11-13 21:51:54.339238

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRL


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 398.3801, Second Loss: -77777.0000, Val Loss: 337.8520 [(kW/hour)^2], MinVal : 337.8519592285156
Epoch [2/2000], First Loss: 389.3295, Second Loss: -77777.0000, Val Loss: 329.5174 [(kW/hour)^2], MinVal : 329.5173645019531
Epoch [3/2000], First Loss: 379.8587, Second Loss: -77777.0000, Val Loss: 319.7146 [(kW/hour)^2], MinVal : 319.7145690917969
Epoch [4/2000], First Loss: 368.6811, Second Loss: -77777.0000, Val Loss: 307.2995 [(kW/hour)^2], MinVal : 307.2994689941406
Epoch [5/2000], First Loss: 354.4459, Second Loss: -77777.0000, Val Loss: 291.4368 [(kW/hour)^2], MinVal : 291.43682861328125
Epoch [6/2000], First Loss: 336.0825, Second Loss: -77777.0000, Val Loss: 272.5879 [(kW/hour)^2], MinVal : 272.5879211425781
Epoch [7/2000], First Loss: 313.8986, Second Loss: -77777.0000, Val Loss: 253.1959 [(kW/hour)^2], MinVal : 253.1959228515625
Epoch [8/2000], First Loss: 290.4782, Second Loss: -77777.0000, Val Loss: 236.6096 [(kW/hour)^2], MinVal : 236.60958862304688
Epoch [9/2000], First Loss: 269.6459, Second Loss: -77777.0000, Val Loss: 224.8838 [(kW/hour)^2], MinVal : 224.88375854492188
Epoch [10/2000], First Loss: 254.0599, Second Loss: -77777.0000, Val Loss: 217.4761 [(kW/hour)^2], MinVal : 217.47607421875
Epoch [11/2000], First Loss: 243.5745, Second Loss: -77777.0000, Val Loss: 212.6789 [(kW/hour)^2], MinVal : 212.67892456054688
Epoch [12/2000], First Loss: 236.4501, Second Loss: -77777.0000, Val Loss: 209.4285 [(kW/hour)^2], MinVal : 209.4285430908203
Epoch [13/2000], First Loss: 231.4419, Second Loss: -77777.0000, Val Loss: 207.1052 [(kW/hour)^2], MinVal : 207.105224609375
Epoch [14/2000], First Loss: 227.7598, Second Loss: -77777.0000, Val Loss: 205.5604 [(kW/hour)^2], MinVal : 205.5604248046875
Epoch [15/2000], First Loss: 225.1742, Second Loss: -77777.0000, Val Loss: 204.3342 [(kW/hour)^2], MinVal : 204.33416748046875
Epoch [16/2000], First Loss: 223.1075, Second Loss: -77777.0000, Val Loss: 203.2815 [(kW/hour)^2], MinVal : 203.28150939941406
Epoch [17/2000], First Loss: 221.2230, Second Loss: -77777.0000, Val Loss: 202.4368 [(kW/hour)^2], MinVal : 202.43682861328125
Epoch [18/2000], First Loss: 219.5946, Second Loss: -77777.0000, Val Loss: 201.7334 [(kW/hour)^2], MinVal : 201.73338317871094
Epoch [19/2000], First Loss: 218.0693, Second Loss: -77777.0000, Val Loss: 200.9400 [(kW/hour)^2], MinVal : 200.9399871826172
Epoch [20/2000], First Loss: 216.5035, Second Loss: -77777.0000, Val Loss: 200.4129 [(kW/hour)^2], MinVal : 200.4129180908203
Epoch [21/2000], First Loss: 215.1260, Second Loss: -77777.0000, Val Loss: 199.9696 [(kW/hour)^2], MinVal : 199.96957397460938
Epoch [22/2000], First Loss: 213.9649, Second Loss: -77777.0000, Val Loss: 199.5557 [(kW/hour)^2], MinVal : 199.5557403564453
Epoch [23/2000], First Loss: 212.8158, Second Loss: -77777.0000, Val Loss: 199.2358 [(kW/hour)^2], MinVal : 199.23583984375
Epoch [24/2000], First Loss: 211.7879, Second Loss: -77777.0000, Val Loss: 198.9877 [(kW/hour)^2], MinVal : 198.98773193359375
Epoch [25/2000], First Loss: 210.8765, Second Loss: -77777.0000, Val Loss: 198.8302 [(kW/hour)^2], MinVal : 198.83018493652344
Epoch [26/2000], First Loss: 210.0985, Second Loss: -77777.0000, Val Loss: 198.7248 [(kW/hour)^2], MinVal : 198.72476196289062
Epoch [27/2000], First Loss: 209.4193, Second Loss: -77777.0000, Val Loss: 198.6729 [(kW/hour)^2], MinVal : 198.67286682128906
Epoch [28/2000], First Loss: 208.8356, Second Loss: -77777.0000, Val Loss: 198.6665 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [29/2000], First Loss: 208.3391, Second Loss: -77777.0000, Val Loss: 198.6925 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [30/2000], First Loss: 207.9162, Second Loss: -77777.0000, Val Loss: 198.7466 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [31/2000], First Loss: 207.5579, Second Loss: -77777.0000, Val Loss: 198.8177 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [32/2000], First Loss: 207.2537, Second Loss: -77777.0000, Val Loss: 198.9025 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [33/2000], First Loss: 206.9885, Second Loss: -77777.0000, Val Loss: 198.9981 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [34/2000], First Loss: 206.7554, Second Loss: -77777.0000, Val Loss: 199.1025 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [35/2000], First Loss: 206.5500, Second Loss: -77777.0000, Val Loss: 199.2130 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [36/2000], First Loss: 206.3700, Second Loss: -77777.0000, Val Loss: 199.3271 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [37/2000], First Loss: 206.2128, Second Loss: -77777.0000, Val Loss: 199.4427 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [38/2000], First Loss: 206.0763, Second Loss: -77777.0000, Val Loss: 199.5578 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [39/2000], First Loss: 205.9576, Second Loss: -77777.0000, Val Loss: 199.6717 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [40/2000], First Loss: 205.8535, Second Loss: -77777.0000, Val Loss: 199.7836 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [41/2000], First Loss: 205.7613, Second Loss: -77777.0000, Val Loss: 199.8935 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [42/2000], First Loss: 205.6790, Second Loss: -77777.0000, Val Loss: 200.0005 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [43/2000], First Loss: 205.6044, Second Loss: -77777.0000, Val Loss: 200.1031 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [44/2000], First Loss: 205.5470, Second Loss: -77777.0000, Val Loss: 200.2106 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [45/2000], First Loss: 205.4777, Second Loss: -77777.0000, Val Loss: 200.3089 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [46/2000], First Loss: 205.4405, Second Loss: -77777.0000, Val Loss: 200.3988 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [47/2000], First Loss: 205.3941, Second Loss: -77777.0000, Val Loss: 200.4965 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [48/2000], First Loss: 205.3513, Second Loss: -77777.0000, Val Loss: 200.5961 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [49/2000], First Loss: 205.3110, Second Loss: -77777.0000, Val Loss: 200.6853 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [50/2000], First Loss: 205.2960, Second Loss: -77777.0000, Val Loss: 200.7696 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [51/2000], First Loss: 205.2641, Second Loss: -77777.0000, Val Loss: 200.8486 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [52/2000], First Loss: 205.2330, Second Loss: -77777.0000, Val Loss: 200.9222 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [53/2000], First Loss: 205.2024, Second Loss: -77777.0000, Val Loss: 200.9890 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [54/2000], First Loss: 205.1714, Second Loss: -77777.0000, Val Loss: 201.0480 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [55/2000], First Loss: 205.1378, Second Loss: -77777.0000, Val Loss: 201.0907 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [56/2000], First Loss: 205.1361, Second Loss: -77777.0000, Val Loss: 201.1659 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [57/2000], First Loss: 205.1202, Second Loss: -77777.0000, Val Loss: 201.2053 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [58/2000], First Loss: 205.0892, Second Loss: -77777.0000, Val Loss: 201.2416 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [59/2000], First Loss: 205.1293, Second Loss: -77777.0000, Val Loss: 201.3126 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [60/2000], First Loss: 205.2592, Second Loss: -77777.0000, Val Loss: 201.4424 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [61/2000], First Loss: 205.2547, Second Loss: -77777.0000, Val Loss: 201.5309 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [62/2000], First Loss: 205.3543, Second Loss: -77777.0000, Val Loss: 201.6253 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [63/2000], First Loss: 205.5206, Second Loss: -77777.0000, Val Loss: 201.7527 [(kW/hour)^2], MinVal : 198.66650390625
Epoch [64/2000], First Loss: 205.5014, Second Loss: -77777.0000, Val Loss: 201.7647 [(kW/hour)^2], MinVal : 198.66650390625
