
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 06:26:14.357179

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRL


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 393.0094, Second Loss: -77777.0000, Val Loss: 330.6759 [(kW/hour)^2], MinVal : 330.6758728027344
Epoch [2/2000], First Loss: 381.1203, Second Loss: -77777.0000, Val Loss: 319.6917 [(kW/hour)^2], MinVal : 319.69171142578125
Epoch [3/2000], First Loss: 368.6067, Second Loss: -77777.0000, Val Loss: 306.5714 [(kW/hour)^2], MinVal : 306.5713806152344
Epoch [4/2000], First Loss: 353.5875, Second Loss: -77777.0000, Val Loss: 290.1527 [(kW/hour)^2], MinVal : 290.1527404785156
Epoch [5/2000], First Loss: 334.6306, Second Loss: -77777.0000, Val Loss: 270.3709 [(kW/hour)^2], MinVal : 270.37091064453125
Epoch [6/2000], First Loss: 311.4468, Second Loss: -77777.0000, Val Loss: 249.2447 [(kW/hour)^2], MinVal : 249.2446746826172
Epoch [7/2000], First Loss: 286.0622, Second Loss: -77777.0000, Val Loss: 230.3993 [(kW/hour)^2], MinVal : 230.3992919921875
Epoch [8/2000], First Loss: 262.4806, Second Loss: -77777.0000, Val Loss: 216.6795 [(kW/hour)^2], MinVal : 216.6794891357422
Epoch [9/2000], First Loss: 244.1126, Second Loss: -77777.0000, Val Loss: 208.7126 [(kW/hour)^2], MinVal : 208.712646484375
Epoch [10/2000], First Loss: 232.1449, Second Loss: -77777.0000, Val Loss: 204.5711 [(kW/hour)^2], MinVal : 204.57113647460938
Epoch [11/2000], First Loss: 225.0926, Second Loss: -77777.0000, Val Loss: 202.3828 [(kW/hour)^2], MinVal : 202.3827667236328
Epoch [12/2000], First Loss: 220.7537, Second Loss: -77777.0000, Val Loss: 201.2541 [(kW/hour)^2], MinVal : 201.25405883789062
Epoch [13/2000], First Loss: 218.0677, Second Loss: -77777.0000, Val Loss: 200.6564 [(kW/hour)^2], MinVal : 200.65635681152344
Epoch [14/2000], First Loss: 216.5650, Second Loss: -77777.0000, Val Loss: 199.8824 [(kW/hour)^2], MinVal : 199.88241577148438
Epoch [15/2000], First Loss: 214.5933, Second Loss: -77777.0000, Val Loss: 199.0833 [(kW/hour)^2], MinVal : 199.08328247070312
Epoch [16/2000], First Loss: 212.8844, Second Loss: -77777.0000, Val Loss: 198.6335 [(kW/hour)^2], MinVal : 198.63345336914062
Epoch [17/2000], First Loss: 211.5955, Second Loss: -77777.0000, Val Loss: 198.4828 [(kW/hour)^2], MinVal : 198.48281860351562
Epoch [18/2000], First Loss: 210.6002, Second Loss: -77777.0000, Val Loss: 198.4225 [(kW/hour)^2], MinVal : 198.4224853515625
Epoch [19/2000], First Loss: 209.9330, Second Loss: -77777.0000, Val Loss: 198.3742 [(kW/hour)^2], MinVal : 198.3741912841797
Epoch [20/2000], First Loss: 209.3076, Second Loss: -77777.0000, Val Loss: 198.3625 [(kW/hour)^2], MinVal : 198.36253356933594
Epoch [21/2000], First Loss: 208.7362, Second Loss: -77777.0000, Val Loss: 198.3717 [(kW/hour)^2], MinVal : 198.36253356933594
