
###################################################################
###################################################################
###################################################################

Current time: 2023-11-14 01:06:10.849820

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.


###################################################################
###################################################################
###################################################################

Current time: 2023-11-14 01:11:09.946674

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 50568

Epoch [1/2000], First Loss: 396.8830, Second Loss: -77777.0000, Val Loss: 334.6133 [(kW/hour)^2], MinVal : 334.61328125
Epoch [2/2000], First Loss: 385.7314, Second Loss: -77777.0000, Val Loss: 324.3767 [(kW/hour)^2], MinVal : 324.376708984375
Epoch [3/2000], First Loss: 374.1181, Second Loss: -77777.0000, Val Loss: 311.9733 [(kW/hour)^2], MinVal : 311.9732666015625
Epoch [4/2000], First Loss: 359.9763, Second Loss: -77777.0000, Val Loss: 295.9466 [(kW/hour)^2], MinVal : 295.9466247558594
Epoch [5/2000], First Loss: 341.5441, Second Loss: -77777.0000, Val Loss: 276.1801 [(kW/hour)^2], MinVal : 276.1801452636719
Epoch [6/2000], First Loss: 318.4442, Second Loss: -77777.0000, Val Loss: 255.2654 [(kW/hour)^2], MinVal : 255.26544189453125
Epoch [7/2000], First Loss: 293.3256, Second Loss: -77777.0000, Val Loss: 237.4510 [(kW/hour)^2], MinVal : 237.4510498046875
Epoch [8/2000], First Loss: 271.0001, Second Loss: -77777.0000, Val Loss: 225.0411 [(kW/hour)^2], MinVal : 225.0410614013672
Epoch [9/2000], First Loss: 254.4799, Second Loss: -77777.0000, Val Loss: 216.9786 [(kW/hour)^2], MinVal : 216.9785614013672
Epoch [10/2000], First Loss: 243.2438, Second Loss: -77777.0000, Val Loss: 211.5700 [(kW/hour)^2], MinVal : 211.5699920654297
Epoch [11/2000], First Loss: 235.2624, Second Loss: -77777.0000, Val Loss: 207.6357 [(kW/hour)^2], MinVal : 207.63572692871094
Epoch [12/2000], First Loss: 229.4366, Second Loss: -77777.0000, Val Loss: 205.1485 [(kW/hour)^2], MinVal : 205.14854431152344
Epoch [13/2000], First Loss: 225.2184, Second Loss: -77777.0000, Val Loss: 203.3385 [(kW/hour)^2], MinVal : 203.3384552001953
Epoch [14/2000], First Loss: 221.8651, Second Loss: -77777.0000, Val Loss: 201.9607 [(kW/hour)^2], MinVal : 201.9607391357422
Epoch [15/2000], First Loss: 219.0982, Second Loss: -77777.0000, Val Loss: 200.8987 [(kW/hour)^2], MinVal : 200.89869689941406
Epoch [16/2000], First Loss: 216.9608, Second Loss: -77777.0000, Val Loss: 200.1385 [(kW/hour)^2], MinVal : 200.1385040283203
Epoch [17/2000], First Loss: 215.2256, Second Loss: -77777.0000, Val Loss: 199.5304 [(kW/hour)^2], MinVal : 199.5303955078125
Epoch [18/2000], First Loss: 213.7212, Second Loss: -77777.0000, Val Loss: 198.9831 [(kW/hour)^2], MinVal : 198.98309326171875
Epoch [19/2000], First Loss: 212.2931, Second Loss: -77777.0000, Val Loss: 198.7388 [(kW/hour)^2], MinVal : 198.73880004882812
Epoch [20/2000], First Loss: 211.3700, Second Loss: -77777.0000, Val Loss: 198.5821 [(kW/hour)^2], MinVal : 198.58206176757812
Epoch [21/2000], First Loss: 210.6113, Second Loss: -77777.0000, Val Loss: 198.4827 [(kW/hour)^2], MinVal : 198.48269653320312
Epoch [22/2000], First Loss: 210.0012, Second Loss: -77777.0000, Val Loss: 198.4341 [(kW/hour)^2], MinVal : 198.43411254882812
Epoch [23/2000], First Loss: 209.4856, Second Loss: -77777.0000, Val Loss: 198.3991 [(kW/hour)^2], MinVal : 198.39913940429688
Epoch [24/2000], First Loss: 209.0369, Second Loss: -77777.0000, Val Loss: 198.3890 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [25/2000], First Loss: 208.6416, Second Loss: -77777.0000, Val Loss: 198.3907 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [26/2000], First Loss: 208.2852, Second Loss: -77777.0000, Val Loss: 198.4055 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [27/2000], First Loss: 207.9646, Second Loss: -77777.0000, Val Loss: 198.4221 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [28/2000], First Loss: 207.6700, Second Loss: -77777.0000, Val Loss: 198.4689 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [29/2000], First Loss: 207.3981, Second Loss: -77777.0000, Val Loss: 198.5164 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [30/2000], First Loss: 207.1469, Second Loss: -77777.0000, Val Loss: 198.5725 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [31/2000], First Loss: 206.9141, Second Loss: -77777.0000, Val Loss: 198.6397 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [32/2000], First Loss: 206.6976, Second Loss: -77777.0000, Val Loss: 198.7125 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [33/2000], First Loss: 206.4958, Second Loss: -77777.0000, Val Loss: 198.7883 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [34/2000], First Loss: 206.3033, Second Loss: -77777.0000, Val Loss: 198.8797 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [35/2000], First Loss: 206.1336, Second Loss: -77777.0000, Val Loss: 198.9776 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [36/2000], First Loss: 205.9744, Second Loss: -77777.0000, Val Loss: 199.0857 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [37/2000], First Loss: 205.8445, Second Loss: -77777.0000, Val Loss: 199.1936 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [38/2000], First Loss: 205.7196, Second Loss: -77777.0000, Val Loss: 199.3055 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [39/2000], First Loss: 205.6052, Second Loss: -77777.0000, Val Loss: 199.4164 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [40/2000], First Loss: 205.5004, Second Loss: -77777.0000, Val Loss: 199.5273 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [41/2000], First Loss: 205.4038, Second Loss: -77777.0000, Val Loss: 199.6335 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [42/2000], First Loss: 205.3068, Second Loss: -77777.0000, Val Loss: 199.7441 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [43/2000], First Loss: 205.2350, Second Loss: -77777.0000, Val Loss: 199.8472 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [44/2000], First Loss: 205.1640, Second Loss: -77777.0000, Val Loss: 199.9459 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [45/2000], First Loss: 205.0962, Second Loss: -77777.0000, Val Loss: 200.0440 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [46/2000], First Loss: 205.0344, Second Loss: -77777.0000, Val Loss: 200.1346 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [47/2000], First Loss: 204.9971, Second Loss: -77777.0000, Val Loss: 200.3163 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [48/2000], First Loss: 205.1060, Second Loss: -77777.0000, Val Loss: 200.4102 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [49/2000], First Loss: 205.2302, Second Loss: -77777.0000, Val Loss: 200.4825 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [50/2000], First Loss: 205.2533, Second Loss: -77777.0000, Val Loss: 200.6043 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [51/2000], First Loss: 205.0177, Second Loss: -77777.0000, Val Loss: 200.5954 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [52/2000], First Loss: 204.8313, Second Loss: -77777.0000, Val Loss: 200.6888 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [53/2000], First Loss: 204.8157, Second Loss: -77777.0000, Val Loss: 200.7847 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [54/2000], First Loss: 204.8044, Second Loss: -77777.0000, Val Loss: 200.8490 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [55/2000], First Loss: 204.7956, Second Loss: -77777.0000, Val Loss: 200.9298 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [56/2000], First Loss: 204.7805, Second Loss: -77777.0000, Val Loss: 200.9866 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [57/2000], First Loss: 204.7600, Second Loss: -77777.0000, Val Loss: 201.0384 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [58/2000], First Loss: 204.7326, Second Loss: -77777.0000, Val Loss: 201.0846 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [59/2000], First Loss: 204.6933, Second Loss: -77777.0000, Val Loss: 201.1655 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [60/2000], First Loss: 204.7707, Second Loss: -77777.0000, Val Loss: 201.2202 [(kW/hour)^2], MinVal : 198.38902282714844
Epoch [61/2000], First Loss: 204.8278, Second Loss: -77777.0000, Val Loss: 201.2142 [(kW/hour)^2], MinVal : 198.38902282714844
