
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 02:51:51.108835

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 50568


###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 05:02:07.446294

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: 2-stageRR


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 50952

The number of parameter in second model : 50568

Epoch [1/2000], First Loss: 392.8365, Second Loss: -77777.0000, Val Loss: 331.2526 [(kW/hour)^2], MinVal : 331.2525634765625
Epoch [2/2000], First Loss: 381.7361, Second Loss: -77777.0000, Val Loss: 320.2047 [(kW/hour)^2], MinVal : 320.20465087890625
Epoch [3/2000], First Loss: 369.1042, Second Loss: -77777.0000, Val Loss: 306.4127 [(kW/hour)^2], MinVal : 306.41265869140625
Epoch [4/2000], First Loss: 353.2499, Second Loss: -77777.0000, Val Loss: 288.8673 [(kW/hour)^2], MinVal : 288.8672790527344
Epoch [5/2000], First Loss: 332.8836, Second Loss: -77777.0000, Val Loss: 268.2653 [(kW/hour)^2], MinVal : 268.26531982421875
Epoch [6/2000], First Loss: 308.5479, Second Loss: -77777.0000, Val Loss: 247.9225 [(kW/hour)^2], MinVal : 247.9224853515625
Epoch [7/2000], First Loss: 283.7849, Second Loss: -77777.0000, Val Loss: 231.8841 [(kW/hour)^2], MinVal : 231.8840789794922
Epoch [8/2000], First Loss: 263.3117, Second Loss: -77777.0000, Val Loss: 221.3166 [(kW/hour)^2], MinVal : 221.31661987304688
Epoch [9/2000], First Loss: 248.9921, Second Loss: -77777.0000, Val Loss: 214.6663 [(kW/hour)^2], MinVal : 214.66627502441406
Epoch [10/2000], First Loss: 239.4556, Second Loss: -77777.0000, Val Loss: 210.3675 [(kW/hour)^2], MinVal : 210.36749267578125
Epoch [11/2000], First Loss: 232.9767, Second Loss: -77777.0000, Val Loss: 207.5638 [(kW/hour)^2], MinVal : 207.5638427734375
Epoch [12/2000], First Loss: 228.5367, Second Loss: -77777.0000, Val Loss: 205.6824 [(kW/hour)^2], MinVal : 205.68240356445312
Epoch [13/2000], First Loss: 225.4400, Second Loss: -77777.0000, Val Loss: 204.3687 [(kW/hour)^2], MinVal : 204.36871337890625
Epoch [14/2000], First Loss: 223.1482, Second Loss: -77777.0000, Val Loss: 203.3077 [(kW/hour)^2], MinVal : 203.3076934814453
Epoch [15/2000], First Loss: 221.2661, Second Loss: -77777.0000, Val Loss: 202.5727 [(kW/hour)^2], MinVal : 202.57266235351562
