
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 14:34:08.060039

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 392.9118, Val Loss: 339.1726 [(kW/hour)^2], MinVal : 339.1725769042969
Epoch [2/2000], Trn Loss: 390.7122, Val Loss: 337.1394 [(kW/hour)^2], MinVal : 337.1394348144531
Epoch [3/2000], Trn Loss: 388.3900, Val Loss: 334.8931 [(kW/hour)^2], MinVal : 334.89312744140625
Epoch [4/2000], Trn Loss: 385.8240, Val Loss: 332.3031 [(kW/hour)^2], MinVal : 332.3031005859375
Epoch [5/2000], Trn Loss: 382.8658, Val Loss: 329.1797 [(kW/hour)^2], MinVal : 329.1796875
Epoch [6/2000], Trn Loss: 379.2996, Val Loss: 325.2340 [(kW/hour)^2], MinVal : 325.2339782714844
Epoch [7/2000], Trn Loss: 374.7960, Val Loss: 320.0060 [(kW/hour)^2], MinVal : 320.0059814453125
Epoch [8/2000], Trn Loss: 368.8286, Val Loss: 312.7212 [(kW/hour)^2], MinVal : 312.7211608886719
Epoch [9/2000], Trn Loss: 360.5095, Val Loss: 302.1168 [(kW/hour)^2], MinVal : 302.1167907714844
Epoch [10/2000], Trn Loss: 348.3742, Val Loss: 286.8169 [(kW/hour)^2], MinVal : 286.8168640136719
Epoch [11/2000], Trn Loss: 330.7474, Val Loss: 267.7370 [(kW/hour)^2], MinVal : 267.73699951171875
Epoch [12/2000], Trn Loss: 308.3702, Val Loss: 249.3016 [(kW/hour)^2], MinVal : 249.30160522460938
Epoch [13/2000], Trn Loss: 286.0536, Val Loss: 234.7335 [(kW/hour)^2], MinVal : 234.7335205078125
Epoch [14/2000], Trn Loss: 267.7220, Val Loss: 224.1770 [(kW/hour)^2], MinVal : 224.1770477294922
Epoch [15/2000], Trn Loss: 253.8322, Val Loss: 216.8289 [(kW/hour)^2], MinVal : 216.8289337158203
Epoch [16/2000], Trn Loss: 243.5993, Val Loss: 211.7117 [(kW/hour)^2], MinVal : 211.7117156982422
Epoch [17/2000], Trn Loss: 236.0249, Val Loss: 207.8958 [(kW/hour)^2], MinVal : 207.895751953125
Epoch [18/2000], Trn Loss: 230.1059, Val Loss: 204.8545 [(kW/hour)^2], MinVal : 204.8545379638672
Epoch [19/2000], Trn Loss: 225.2384, Val Loss: 202.4273 [(kW/hour)^2], MinVal : 202.42730712890625
Epoch [20/2000], Trn Loss: 221.1468, Val Loss: 200.4902 [(kW/hour)^2], MinVal : 200.490234375
Epoch [21/2000], Trn Loss: 217.6882, Val Loss: 198.9543 [(kW/hour)^2], MinVal : 198.95433044433594
Epoch [22/2000], Trn Loss: 214.7499, Val Loss: 197.7331 [(kW/hour)^2], MinVal : 197.7330780029297
Epoch [23/2000], Trn Loss: 212.2672, Val Loss: 196.7782 [(kW/hour)^2], MinVal : 196.77816772460938
Epoch [24/2000], Trn Loss: 210.1372, Val Loss: 195.9797 [(kW/hour)^2], MinVal : 195.97967529296875
Epoch [25/2000], Trn Loss: 208.3332, Val Loss: 195.2607 [(kW/hour)^2], MinVal : 195.2607421875
Epoch [26/2000], Trn Loss: 206.7096, Val Loss: 194.5920 [(kW/hour)^2], MinVal : 194.59201049804688
Epoch [27/2000], Trn Loss: 205.3013, Val Loss: 194.0833 [(kW/hour)^2], MinVal : 194.083251953125
Epoch [28/2000], Trn Loss: 203.9116, Val Loss: 193.3020 [(kW/hour)^2], MinVal : 193.30201721191406
Epoch [29/2000], Trn Loss: 202.6811, Val Loss: 192.7222 [(kW/hour)^2], MinVal : 192.72222900390625
Epoch [30/2000], Trn Loss: 201.4213, Val Loss: 191.8130 [(kW/hour)^2], MinVal : 191.81298828125
Epoch [31/2000], Trn Loss: 200.2871, Val Loss: 190.9032 [(kW/hour)^2], MinVal : 190.9032440185547
Epoch [32/2000], Trn Loss: 199.1445, Val Loss: 190.1431 [(kW/hour)^2], MinVal : 190.14308166503906
Epoch [33/2000], Trn Loss: 198.3411, Val Loss: 189.3073 [(kW/hour)^2], MinVal : 189.3073272705078
Epoch [34/2000], Trn Loss: 197.4739, Val Loss: 188.3577 [(kW/hour)^2], MinVal : 188.35772705078125
Epoch [35/2000], Trn Loss: 197.0262, Val Loss: 187.6345 [(kW/hour)^2], MinVal : 187.63446044921875
Epoch [36/2000], Trn Loss: 196.4273, Val Loss: 187.7307 [(kW/hour)^2], MinVal : 187.63446044921875
Epoch [37/2000], Trn Loss: 195.9902, Val Loss: 187.5767 [(kW/hour)^2], MinVal : 187.5767059326172
Epoch [38/2000], Trn Loss: 195.5663, Val Loss: 187.4218 [(kW/hour)^2], MinVal : 187.42176818847656
Epoch [39/2000], Trn Loss: 195.2459, Val Loss: 187.1603 [(kW/hour)^2], MinVal : 187.16026306152344
Epoch [40/2000], Trn Loss: 194.8447, Val Loss: 186.3723 [(kW/hour)^2], MinVal : 186.37225341796875
Epoch [41/2000], Trn Loss: 194.4049, Val Loss: 185.4796 [(kW/hour)^2], MinVal : 185.47964477539062
Epoch [42/2000], Trn Loss: 193.8564, Val Loss: 184.9262 [(kW/hour)^2], MinVal : 184.92620849609375
Epoch [43/2000], Trn Loss: 193.3328, Val Loss: 184.9733 [(kW/hour)^2], MinVal : 184.92620849609375
Epoch [44/2000], Trn Loss: 193.2198, Val Loss: 184.5967 [(kW/hour)^2], MinVal : 184.5966796875
Epoch [45/2000], Trn Loss: 192.8068, Val Loss: 184.1968 [(kW/hour)^2], MinVal : 184.1968231201172
Epoch [46/2000], Trn Loss: 192.2851, Val Loss: 183.7580 [(kW/hour)^2], MinVal : 183.75796508789062
Epoch [47/2000], Trn Loss: 191.7292, Val Loss: 183.4056 [(kW/hour)^2], MinVal : 183.40562438964844
Epoch [48/2000], Trn Loss: 191.0465, Val Loss: 183.1019 [(kW/hour)^2], MinVal : 183.10194396972656
Epoch [49/2000], Trn Loss: 190.5193, Val Loss: 182.8210 [(kW/hour)^2], MinVal : 182.8209686279297
Epoch [50/2000], Trn Loss: 190.0179, Val Loss: 182.4132 [(kW/hour)^2], MinVal : 182.4132080078125
Epoch [51/2000], Trn Loss: 189.5335, Val Loss: 181.8383 [(kW/hour)^2], MinVal : 181.8383026123047
Epoch [52/2000], Trn Loss: 189.0559, Val Loss: 181.2911 [(kW/hour)^2], MinVal : 181.29107666015625
Epoch [53/2000], Trn Loss: 188.5303, Val Loss: 180.9889 [(kW/hour)^2], MinVal : 180.9888916015625
Epoch [54/2000], Trn Loss: 188.1310, Val Loss: 180.3580 [(kW/hour)^2], MinVal : 180.3580322265625
Epoch [55/2000], Trn Loss: 187.4885, Val Loss: 179.9476 [(kW/hour)^2], MinVal : 179.94757080078125
Epoch [56/2000], Trn Loss: 186.9145, Val Loss: 179.4478 [(kW/hour)^2], MinVal : 179.44784545898438
Epoch [57/2000], Trn Loss: 186.2717, Val Loss: 179.0832 [(kW/hour)^2], MinVal : 179.0831756591797
Epoch [58/2000], Trn Loss: 185.5362, Val Loss: 179.0667 [(kW/hour)^2], MinVal : 179.06666564941406
Epoch [59/2000], Trn Loss: 184.8678, Val Loss: 178.4507 [(kW/hour)^2], MinVal : 178.45071411132812
