
###################################################################
###################################################################
###################################################################

Current time: 2023-11-21 10:21:37.623251

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 389.1294, Val Loss: 334.2742 [(kW/hour)^2], MinVal : 334.274169921875
Epoch [2/2000], Trn Loss: 374.6667, Val Loss: 302.9829 [(kW/hour)^2], MinVal : 302.9828796386719
Epoch [3/2000], Trn Loss: 363.4789, Val Loss: 277.3474 [(kW/hour)^2], MinVal : 277.34735107421875
Epoch [4/2000], Trn Loss: 354.8913, Val Loss: 270.8489 [(kW/hour)^2], MinVal : 270.84893798828125
Epoch [5/2000], Trn Loss: 349.1284, Val Loss: 266.0261 [(kW/hour)^2], MinVal : 266.02606201171875
Epoch [6/2000], Trn Loss: 344.6690, Val Loss: 262.7015 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [7/2000], Trn Loss: 341.0296, Val Loss: 263.9533 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [8/2000], Trn Loss: 337.9340, Val Loss: 272.5801 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [9/2000], Trn Loss: 335.9392, Val Loss: 280.0487 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [10/2000], Trn Loss: 333.9370, Val Loss: 289.0150 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [11/2000], Trn Loss: 332.3035, Val Loss: 300.9872 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [12/2000], Trn Loss: 330.6403, Val Loss: 314.7755 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [13/2000], Trn Loss: 329.0296, Val Loss: 329.7413 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [14/2000], Trn Loss: 327.3242, Val Loss: 346.5455 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [15/2000], Trn Loss: 325.9832, Val Loss: 365.7452 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [16/2000], Trn Loss: 324.9284, Val Loss: 385.5225 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [17/2000], Trn Loss: 323.7752, Val Loss: 404.3088 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [18/2000], Trn Loss: 322.7110, Val Loss: 420.3372 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [19/2000], Trn Loss: 321.3304, Val Loss: 432.2548 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [20/2000], Trn Loss: 320.2463, Val Loss: 439.3811 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [21/2000], Trn Loss: 318.9285, Val Loss: 439.7553 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [22/2000], Trn Loss: 317.6183, Val Loss: 434.8542 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [23/2000], Trn Loss: 316.3969, Val Loss: 426.8079 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [24/2000], Trn Loss: 315.1163, Val Loss: 417.2802 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [25/2000], Trn Loss: 313.9971, Val Loss: 408.1848 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [26/2000], Trn Loss: 312.8098, Val Loss: 401.0390 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [27/2000], Trn Loss: 311.6902, Val Loss: 396.8022 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [28/2000], Trn Loss: 310.5335, Val Loss: 396.4431 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [29/2000], Trn Loss: 309.6043, Val Loss: 398.7183 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [30/2000], Trn Loss: 308.3384, Val Loss: 403.7534 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [31/2000], Trn Loss: 307.1227, Val Loss: 411.8163 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [32/2000], Trn Loss: 305.9242, Val Loss: 422.1975 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [33/2000], Trn Loss: 304.6322, Val Loss: 435.6142 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [34/2000], Trn Loss: 303.3485, Val Loss: 447.9536 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [35/2000], Trn Loss: 302.0765, Val Loss: 454.9942 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [36/2000], Trn Loss: 300.7443, Val Loss: 456.3250 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [37/2000], Trn Loss: 299.4867, Val Loss: 452.2465 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [38/2000], Trn Loss: 297.8647, Val Loss: 443.9379 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [39/2000], Trn Loss: 296.0725, Val Loss: 435.6141 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [40/2000], Trn Loss: 294.2774, Val Loss: 431.6678 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [41/2000], Trn Loss: 292.2474, Val Loss: 434.0008 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [42/2000], Trn Loss: 290.7356, Val Loss: 439.0786 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [43/2000], Trn Loss: 289.5236, Val Loss: 442.6639 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [44/2000], Trn Loss: 288.4494, Val Loss: 444.9383 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [45/2000], Trn Loss: 287.3635, Val Loss: 450.0151 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [46/2000], Trn Loss: 286.1190, Val Loss: 461.5882 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [47/2000], Trn Loss: 285.1009, Val Loss: 478.7387 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [48/2000], Trn Loss: 284.1976, Val Loss: 492.3434 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [49/2000], Trn Loss: 283.0559, Val Loss: 496.7146 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [50/2000], Trn Loss: 282.1289, Val Loss: 494.9535 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [51/2000], Trn Loss: 281.0337, Val Loss: 496.5032 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [52/2000], Trn Loss: 280.0872, Val Loss: 505.4871 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [53/2000], Trn Loss: 279.0667, Val Loss: 521.5895 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [54/2000], Trn Loss: 278.1012, Val Loss: 539.8890 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [55/2000], Trn Loss: 276.9935, Val Loss: 550.7060 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [56/2000], Trn Loss: 275.9368, Val Loss: 553.4250 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [57/2000], Trn Loss: 275.1074, Val Loss: 557.4829 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [58/2000], Trn Loss: 274.1795, Val Loss: 570.1218 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [59/2000], Trn Loss: 273.3774, Val Loss: 587.6239 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [60/2000], Trn Loss: 272.3304, Val Loss: 604.8115 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [61/2000], Trn Loss: 271.4112, Val Loss: 617.2869 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [62/2000], Trn Loss: 270.5056, Val Loss: 619.2347 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [63/2000], Trn Loss: 269.6140, Val Loss: 624.0408 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [64/2000], Trn Loss: 268.7049, Val Loss: 635.3162 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [65/2000], Trn Loss: 267.8855, Val Loss: 649.4045 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [66/2000], Trn Loss: 267.1210, Val Loss: 657.0917 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [67/2000], Trn Loss: 266.0865, Val Loss: 660.6372 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [68/2000], Trn Loss: 265.2409, Val Loss: 664.9765 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [69/2000], Trn Loss: 264.2289, Val Loss: 670.0745 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [70/2000], Trn Loss: 263.4773, Val Loss: 675.4257 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [71/2000], Trn Loss: 262.6848, Val Loss: 684.4952 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [72/2000], Trn Loss: 261.7241, Val Loss: 702.3913 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [73/2000], Trn Loss: 260.8599, Val Loss: 724.2468 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [74/2000], Trn Loss: 259.7968, Val Loss: 731.2690 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [75/2000], Trn Loss: 258.9734, Val Loss: 729.0303 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [76/2000], Trn Loss: 258.1270, Val Loss: 731.0517 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [77/2000], Trn Loss: 257.3339, Val Loss: 746.3507 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [78/2000], Trn Loss: 256.2418, Val Loss: 751.5284 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [79/2000], Trn Loss: 255.3623, Val Loss: 751.6155 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [80/2000], Trn Loss: 255.0708, Val Loss: 712.1376 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [81/2000], Trn Loss: 255.2285, Val Loss: 707.9667 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [82/2000], Trn Loss: 253.7585, Val Loss: 684.2317 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [83/2000], Trn Loss: 253.3761, Val Loss: 681.0580 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [84/2000], Trn Loss: 251.5684, Val Loss: 718.9188 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [85/2000], Trn Loss: 251.4487, Val Loss: 723.3898 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [86/2000], Trn Loss: 249.7859, Val Loss: 724.3739 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [87/2000], Trn Loss: 249.5272, Val Loss: 702.3628 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [88/2000], Trn Loss: 248.3854, Val Loss: 710.6110 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [89/2000], Trn Loss: 247.3533, Val Loss: 714.0593 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [90/2000], Trn Loss: 246.8420, Val Loss: 722.1432 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [91/2000], Trn Loss: 245.6125, Val Loss: 717.0148 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [92/2000], Trn Loss: 245.2469, Val Loss: 702.8754 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [93/2000], Trn Loss: 244.2198, Val Loss: 690.2334 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [94/2000], Trn Loss: 243.1059, Val Loss: 687.3298 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [95/2000], Trn Loss: 242.5861, Val Loss: 672.1264 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [96/2000], Trn Loss: 241.4141, Val Loss: 666.0951 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [97/2000], Trn Loss: 240.9417, Val Loss: 667.1564 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [98/2000], Trn Loss: 239.8314, Val Loss: 662.3575 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [99/2000], Trn Loss: 239.2801, Val Loss: 626.6793 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [100/2000], Trn Loss: 237.9786, Val Loss: 644.1120 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [101/2000], Trn Loss: 237.5353, Val Loss: 627.0461 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [102/2000], Trn Loss: 236.4014, Val Loss: 596.3636 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [103/2000], Trn Loss: 235.7242, Val Loss: 597.9474 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [104/2000], Trn Loss: 234.7098, Val Loss: 559.6201 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [105/2000], Trn Loss: 234.2983, Val Loss: 593.2322 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [106/2000], Trn Loss: 233.3487, Val Loss: 554.9003 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [107/2000], Trn Loss: 232.2661, Val Loss: 556.3959 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [108/2000], Trn Loss: 231.5151, Val Loss: 581.4731 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [109/2000], Trn Loss: 230.7537, Val Loss: 537.0556 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [110/2000], Trn Loss: 230.0240, Val Loss: 554.0612 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [111/2000], Trn Loss: 229.1300, Val Loss: 533.8010 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [112/2000], Trn Loss: 228.3645, Val Loss: 524.1655 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [113/2000], Trn Loss: 227.6925, Val Loss: 555.0446 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [114/2000], Trn Loss: 226.6835, Val Loss: 487.7109 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [115/2000], Trn Loss: 226.3564, Val Loss: 565.4620 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [116/2000], Trn Loss: 225.9417, Val Loss: 465.7434 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [117/2000], Trn Loss: 224.8432, Val Loss: 529.7181 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [118/2000], Trn Loss: 223.9048, Val Loss: 548.5378 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [119/2000], Trn Loss: 223.8736, Val Loss: 428.4511 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [120/2000], Trn Loss: 222.5056, Val Loss: 496.0715 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [121/2000], Trn Loss: 222.6266, Val Loss: 522.3116 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [122/2000], Trn Loss: 221.1637, Val Loss: 491.8489 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [123/2000], Trn Loss: 220.6747, Val Loss: 451.2206 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [124/2000], Trn Loss: 219.5678, Val Loss: 516.3679 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [125/2000], Trn Loss: 219.1340, Val Loss: 514.8000 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [126/2000], Trn Loss: 218.6984, Val Loss: 494.4403 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [127/2000], Trn Loss: 217.5586, Val Loss: 475.1396 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [128/2000], Trn Loss: 216.9293, Val Loss: 451.2352 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [129/2000], Trn Loss: 215.9667, Val Loss: 460.2298 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [130/2000], Trn Loss: 215.0338, Val Loss: 487.2223 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [131/2000], Trn Loss: 214.4499, Val Loss: 508.3040 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [132/2000], Trn Loss: 213.6514, Val Loss: 513.1536 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [133/2000], Trn Loss: 212.8731, Val Loss: 462.3319 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [134/2000], Trn Loss: 211.8843, Val Loss: 479.7949 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [135/2000], Trn Loss: 210.9593, Val Loss: 519.5178 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [136/2000], Trn Loss: 210.2889, Val Loss: 522.9216 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [137/2000], Trn Loss: 209.4899, Val Loss: 507.1828 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [138/2000], Trn Loss: 208.5693, Val Loss: 494.5991 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [139/2000], Trn Loss: 207.7447, Val Loss: 486.2501 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [140/2000], Trn Loss: 206.9602, Val Loss: 479.9806 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [141/2000], Trn Loss: 206.0615, Val Loss: 483.7413 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [142/2000], Trn Loss: 205.6182, Val Loss: 476.9906 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [143/2000], Trn Loss: 204.5751, Val Loss: 485.6456 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [144/2000], Trn Loss: 203.9735, Val Loss: 444.6711 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [145/2000], Trn Loss: 203.1828, Val Loss: 483.9665 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [146/2000], Trn Loss: 202.6399, Val Loss: 448.3894 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [147/2000], Trn Loss: 201.9990, Val Loss: 494.7206 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [148/2000], Trn Loss: 201.6342, Val Loss: 382.6496 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [149/2000], Trn Loss: 200.3908, Val Loss: 497.4070 [(kW/hour)^2], MinVal : 262.70147705078125
Epoch [150/2000], Trn Loss: 199.7883, Val Loss: 494.6765 [(kW/hour)^2], MinVal : 262.70147705078125
