
###################################################################
###################################################################
###################################################################

Current time: 2023-10-23 20:46:51.033591

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 50952

Epoch [1/2000], Trn Loss: 396.9143, Val Loss: 334.1643 [(kW/hour)^2], MinVal : 334.1642761230469
Epoch [2/2000], Trn Loss: 385.0452, Val Loss: 323.1951 [(kW/hour)^2], MinVal : 323.19512939453125
Epoch [3/2000], Trn Loss: 372.5533, Val Loss: 309.9342 [(kW/hour)^2], MinVal : 309.9342346191406
Epoch [4/2000], Trn Loss: 357.3682, Val Loss: 293.0084 [(kW/hour)^2], MinVal : 293.0084228515625
Epoch [5/2000], Trn Loss: 337.8038, Val Loss: 272.6429 [(kW/hour)^2], MinVal : 272.64288330078125
Epoch [6/2000], Trn Loss: 313.8724, Val Loss: 251.6888 [(kW/hour)^2], MinVal : 251.6887664794922
Epoch [7/2000], Trn Loss: 288.5818, Val Loss: 233.8526 [(kW/hour)^2], MinVal : 233.85263061523438
Epoch [8/2000], Trn Loss: 266.1458, Val Loss: 221.3515 [(kW/hour)^2], MinVal : 221.35154724121094
Epoch [9/2000], Trn Loss: 249.3899, Val Loss: 213.7416 [(kW/hour)^2], MinVal : 213.74160766601562
Epoch [10/2000], Trn Loss: 238.3667, Val Loss: 209.0080 [(kW/hour)^2], MinVal : 209.00802612304688
Epoch [11/2000], Trn Loss: 231.0483, Val Loss: 205.8949 [(kW/hour)^2], MinVal : 205.89486694335938
Epoch [12/2000], Trn Loss: 225.9386, Val Loss: 203.7908 [(kW/hour)^2], MinVal : 203.7908477783203
Epoch [13/2000], Trn Loss: 222.2757, Val Loss: 202.3389 [(kW/hour)^2], MinVal : 202.3389129638672
Epoch [14/2000], Trn Loss: 219.4828, Val Loss: 201.2863 [(kW/hour)^2], MinVal : 201.2863311767578
Epoch [15/2000], Trn Loss: 217.2878, Val Loss: 200.4848 [(kW/hour)^2], MinVal : 200.48475646972656
Epoch [16/2000], Trn Loss: 215.4445, Val Loss: 199.9400 [(kW/hour)^2], MinVal : 199.9399871826172
Epoch [17/2000], Trn Loss: 213.9922, Val Loss: 199.5231 [(kW/hour)^2], MinVal : 199.5231475830078
Epoch [18/2000], Trn Loss: 212.8255, Val Loss: 199.1600 [(kW/hour)^2], MinVal : 199.16000366210938
Epoch [19/2000], Trn Loss: 211.7482, Val Loss: 198.9687 [(kW/hour)^2], MinVal : 198.9687042236328
