
###################################################################
###################################################################
###################################################################

Current time: 2023-11-01 11:36:49.262942

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.3, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 50952

Epoch [1/2000], Trn Loss: 400.7266, Val Loss: 337.6220 [(kW/hour)^2], MinVal : 337.6219787597656
Epoch [2/2000], Trn Loss: 388.9379, Val Loss: 327.6127 [(kW/hour)^2], MinVal : 327.61273193359375
Epoch [3/2000], Trn Loss: 377.5807, Val Loss: 316.4550 [(kW/hour)^2], MinVal : 316.4549560546875
Epoch [4/2000], Trn Loss: 364.8677, Val Loss: 302.8179 [(kW/hour)^2], MinVal : 302.81787109375
Epoch [5/2000], Trn Loss: 349.2328, Val Loss: 285.6997 [(kW/hour)^2], MinVal : 285.69970703125
Epoch [6/2000], Trn Loss: 329.4060, Val Loss: 265.3505 [(kW/hour)^2], MinVal : 265.3504638671875
Epoch [7/2000], Trn Loss: 305.4371, Val Loss: 244.0754 [(kW/hour)^2], MinVal : 244.07542419433594
Epoch [8/2000], Trn Loss: 279.6601, Val Loss: 225.9553 [(kW/hour)^2], MinVal : 225.95530700683594
Epoch [9/2000], Trn Loss: 256.5792, Val Loss: 214.2112 [(kW/hour)^2], MinVal : 214.21115112304688
Epoch [10/2000], Trn Loss: 240.2104, Val Loss: 207.9722 [(kW/hour)^2], MinVal : 207.9722442626953
Epoch [11/2000], Trn Loss: 230.4324, Val Loss: 204.4543 [(kW/hour)^2], MinVal : 204.454345703125
Epoch [12/2000], Trn Loss: 224.5903, Val Loss: 202.6025 [(kW/hour)^2], MinVal : 202.60250854492188
Epoch [13/2000], Trn Loss: 220.8516, Val Loss: 201.5604 [(kW/hour)^2], MinVal : 201.56040954589844
Epoch [14/2000], Trn Loss: 218.4926, Val Loss: 200.7884 [(kW/hour)^2], MinVal : 200.78843688964844
Epoch [15/2000], Trn Loss: 216.6096, Val Loss: 200.2074 [(kW/hour)^2], MinVal : 200.20741271972656
Epoch [16/2000], Trn Loss: 215.0359, Val Loss: 199.7763 [(kW/hour)^2], MinVal : 199.77630615234375
Epoch [17/2000], Trn Loss: 213.7523, Val Loss: 199.5021 [(kW/hour)^2], MinVal : 199.50213623046875
Epoch [18/2000], Trn Loss: 212.6726, Val Loss: 199.2744 [(kW/hour)^2], MinVal : 199.27438354492188
Epoch [19/2000], Trn Loss: 211.6527, Val Loss: 199.0901 [(kW/hour)^2], MinVal : 199.090087890625
Epoch [20/2000], Trn Loss: 210.7725, Val Loss: 199.0249 [(kW/hour)^2], MinVal : 199.02487182617188
Epoch [21/2000], Trn Loss: 210.0904, Val Loss: 198.9893 [(kW/hour)^2], MinVal : 198.98927307128906
Epoch [22/2000], Trn Loss: 209.4748, Val Loss: 199.0082 [(kW/hour)^2], MinVal : 198.98927307128906
Epoch [23/2000], Trn Loss: 208.9262, Val Loss: 199.0534 [(kW/hour)^2], MinVal : 198.98927307128906
Epoch [24/2000], Trn Loss: 208.4782, Val Loss: 199.0427 [(kW/hour)^2], MinVal : 198.98927307128906
Epoch [25/2000], Trn Loss: 208.1109, Val Loss: 199.1242 [(kW/hour)^2], MinVal : 198.98927307128906
Epoch [26/2000], Trn Loss: 207.6407, Val Loss: 199.1488 [(kW/hour)^2], MinVal : 198.98927307128906
