
###################################################################
###################################################################
###################################################################

Current time: 2023-11-19 12:09:22.642434

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 50952

Epoch [1/2000], Trn Loss: 389.0229, Val Loss: 328.1884 [(kW/hour)^2], MinVal : 328.18841552734375
Epoch [2/2000], Trn Loss: 378.2545, Val Loss: 317.9243 [(kW/hour)^2], MinVal : 317.9243469238281
Epoch [3/2000], Trn Loss: 366.5531, Val Loss: 305.1567 [(kW/hour)^2], MinVal : 305.15667724609375
Epoch [4/2000], Trn Loss: 351.9156, Val Loss: 288.8119 [(kW/hour)^2], MinVal : 288.8118896484375
Epoch [5/2000], Trn Loss: 332.9878, Val Loss: 269.4207 [(kW/hour)^2], MinVal : 269.420654296875
Epoch [6/2000], Trn Loss: 310.1281, Val Loss: 249.7960 [(kW/hour)^2], MinVal : 249.7959747314453
Epoch [7/2000], Trn Loss: 286.3277, Val Loss: 233.3210 [(kW/hour)^2], MinVal : 233.3209991455078
Epoch [8/2000], Trn Loss: 265.5040, Val Loss: 221.6486 [(kW/hour)^2], MinVal : 221.6485595703125
Epoch [9/2000], Trn Loss: 249.9164, Val Loss: 214.1253 [(kW/hour)^2], MinVal : 214.12530517578125
Epoch [10/2000], Trn Loss: 239.2820, Val Loss: 209.4802 [(kW/hour)^2], MinVal : 209.48023986816406
Epoch [11/2000], Trn Loss: 232.2441, Val Loss: 206.7955 [(kW/hour)^2], MinVal : 206.7955322265625
Epoch [12/2000], Trn Loss: 227.7632, Val Loss: 205.2575 [(kW/hour)^2], MinVal : 205.25747680664062
Epoch [13/2000], Trn Loss: 224.5944, Val Loss: 203.9916 [(kW/hour)^2], MinVal : 203.99156188964844
Epoch [14/2000], Trn Loss: 222.1289, Val Loss: 202.5920 [(kW/hour)^2], MinVal : 202.59201049804688
Epoch [15/2000], Trn Loss: 219.8683, Val Loss: 201.6723 [(kW/hour)^2], MinVal : 201.67225646972656
Epoch [16/2000], Trn Loss: 217.9723, Val Loss: 201.0357 [(kW/hour)^2], MinVal : 201.03567504882812
Epoch [17/2000], Trn Loss: 216.5755, Val Loss: 200.5767 [(kW/hour)^2], MinVal : 200.57667541503906
Epoch [18/2000], Trn Loss: 215.4800, Val Loss: 200.0923 [(kW/hour)^2], MinVal : 200.0923309326172
Epoch [19/2000], Trn Loss: 214.2640, Val Loss: 199.5907 [(kW/hour)^2], MinVal : 199.59071350097656
Epoch [20/2000], Trn Loss: 213.1133, Val Loss: 199.3248 [(kW/hour)^2], MinVal : 199.32476806640625
Epoch [21/2000], Trn Loss: 212.3907, Val Loss: 199.0795 [(kW/hour)^2], MinVal : 199.07952880859375
Epoch [22/2000], Trn Loss: 211.6451, Val Loss: 198.8206 [(kW/hour)^2], MinVal : 198.82061767578125
Epoch [23/2000], Trn Loss: 210.8701, Val Loss: 198.6080 [(kW/hour)^2], MinVal : 198.60804748535156
Epoch [24/2000], Trn Loss: 210.0904, Val Loss: 198.4631 [(kW/hour)^2], MinVal : 198.46311950683594
Epoch [25/2000], Trn Loss: 209.5007, Val Loss: 198.3910 [(kW/hour)^2], MinVal : 198.39097595214844
Epoch [26/2000], Trn Loss: 208.8044, Val Loss: 198.3538 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [27/2000], Trn Loss: 208.3310, Val Loss: 198.3543 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [28/2000], Trn Loss: 207.8917, Val Loss: 198.3952 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [29/2000], Trn Loss: 207.5577, Val Loss: 198.4597 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [30/2000], Trn Loss: 207.2812, Val Loss: 198.5294 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [31/2000], Trn Loss: 207.0321, Val Loss: 198.6052 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [32/2000], Trn Loss: 206.7981, Val Loss: 198.6848 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [33/2000], Trn Loss: 206.5997, Val Loss: 198.7524 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [34/2000], Trn Loss: 206.4182, Val Loss: 198.8694 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [35/2000], Trn Loss: 206.2524, Val Loss: 198.9629 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [36/2000], Trn Loss: 206.0998, Val Loss: 199.0576 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [37/2000], Trn Loss: 205.9588, Val Loss: 199.1525 [(kW/hour)^2], MinVal : 198.35382080078125
Epoch [38/2000], Trn Loss: 205.8276, Val Loss: 199.2460 [(kW/hour)^2], MinVal : 198.35382080078125
