
###################################################################
###################################################################
###################################################################

Current time: 2023-10-23 20:16:19.180870

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 395.1917, Val Loss: 341.3178 [(kW/hour)^2], MinVal : 341.3177795410156
Epoch [2/2000], Trn Loss: 393.1705, Val Loss: 339.5457 [(kW/hour)^2], MinVal : 339.54571533203125
Epoch [3/2000], Trn Loss: 391.1482, Val Loss: 337.6952 [(kW/hour)^2], MinVal : 337.6951904296875
Epoch [4/2000], Trn Loss: 389.0350, Val Loss: 335.6598 [(kW/hour)^2], MinVal : 335.6597595214844
Epoch [5/2000], Trn Loss: 386.7106, Val Loss: 333.3115 [(kW/hour)^2], MinVal : 333.3114929199219
Epoch [6/2000], Trn Loss: 384.0292, Val Loss: 330.4696 [(kW/hour)^2], MinVal : 330.4696350097656
Epoch [7/2000], Trn Loss: 380.7853, Val Loss: 326.8586 [(kW/hour)^2], MinVal : 326.8586120605469
Epoch [8/2000], Trn Loss: 376.6635, Val Loss: 322.0180 [(kW/hour)^2], MinVal : 322.0180358886719
Epoch [9/2000], Trn Loss: 371.1402, Val Loss: 315.1541 [(kW/hour)^2], MinVal : 315.154052734375
Epoch [10/2000], Trn Loss: 363.3051, Val Loss: 305.0193 [(kW/hour)^2], MinVal : 305.0193176269531
Epoch [11/2000], Trn Loss: 351.7138, Val Loss: 290.5814 [(kW/hour)^2], MinVal : 290.5813903808594
Epoch [12/2000], Trn Loss: 335.0798, Val Loss: 273.2355 [(kW/hour)^2], MinVal : 273.2355041503906
Epoch [13/2000], Trn Loss: 314.7267, Val Loss: 257.0428 [(kW/hour)^2], MinVal : 257.04278564453125
Epoch [14/2000], Trn Loss: 295.1527, Val Loss: 244.6031 [(kW/hour)^2], MinVal : 244.60311889648438
Epoch [15/2000], Trn Loss: 279.6159, Val Loss: 235.3051 [(kW/hour)^2], MinVal : 235.30506896972656
Epoch [16/2000], Trn Loss: 267.6922, Val Loss: 228.0186 [(kW/hour)^2], MinVal : 228.01864624023438
Epoch [17/2000], Trn Loss: 258.0805, Val Loss: 222.3729 [(kW/hour)^2], MinVal : 222.37290954589844
Epoch [18/2000], Trn Loss: 250.3419, Val Loss: 217.9478 [(kW/hour)^2], MinVal : 217.9477996826172
Epoch [19/2000], Trn Loss: 244.0737, Val Loss: 214.2643 [(kW/hour)^2], MinVal : 214.26434326171875
Epoch [20/2000], Trn Loss: 238.7714, Val Loss: 211.1339 [(kW/hour)^2], MinVal : 211.13389587402344
Epoch [21/2000], Trn Loss: 234.1491, Val Loss: 208.4523 [(kW/hour)^2], MinVal : 208.45228576660156
Epoch [22/2000], Trn Loss: 230.0766, Val Loss: 206.1730 [(kW/hour)^2], MinVal : 206.17295837402344
Epoch [23/2000], Trn Loss: 226.4953, Val Loss: 204.2519 [(kW/hour)^2], MinVal : 204.2519073486328
Epoch [24/2000], Trn Loss: 223.3575, Val Loss: 202.6375 [(kW/hour)^2], MinVal : 202.6374969482422
Epoch [25/2000], Trn Loss: 220.6041, Val Loss: 201.2818 [(kW/hour)^2], MinVal : 201.28184509277344
Epoch [26/2000], Trn Loss: 218.1813, Val Loss: 200.1447 [(kW/hour)^2], MinVal : 200.1446990966797
