
###################################################################
###################################################################
###################################################################

Current time: 2023-11-02 11:34:33.776389

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.8, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 394.6800, Val Loss: 340.7520 [(kW/hour)^2], MinVal : 340.7520446777344
Epoch [2/2000], Trn Loss: 392.5528, Val Loss: 338.8190 [(kW/hour)^2], MinVal : 338.81903076171875
Epoch [3/2000], Trn Loss: 390.3499, Val Loss: 336.7105 [(kW/hour)^2], MinVal : 336.7105407714844
Epoch [4/2000], Trn Loss: 387.9480, Val Loss: 334.2952 [(kW/hour)^2], MinVal : 334.29522705078125
Epoch [5/2000], Trn Loss: 385.1978, Val Loss: 331.3937 [(kW/hour)^2], MinVal : 331.39373779296875
Epoch [6/2000], Trn Loss: 381.8962, Val Loss: 327.7358 [(kW/hour)^2], MinVal : 327.73577880859375
Epoch [7/2000], Trn Loss: 377.7366, Val Loss: 322.8948 [(kW/hour)^2], MinVal : 322.894775390625
Epoch [8/2000], Trn Loss: 372.2340, Val Loss: 316.1857 [(kW/hour)^2], MinVal : 316.18572998046875
Epoch [9/2000], Trn Loss: 364.6084, Val Loss: 306.6209 [(kW/hour)^2], MinVal : 306.6208801269531
Epoch [10/2000], Trn Loss: 353.7208, Val Loss: 293.3033 [(kW/hour)^2], MinVal : 293.30328369140625
Epoch [11/2000], Trn Loss: 338.4760, Val Loss: 276.6641 [(kW/hour)^2], MinVal : 276.6640625
Epoch [12/2000], Trn Loss: 319.1371, Val Loss: 259.1864 [(kW/hour)^2], MinVal : 259.1864013671875
Epoch [13/2000], Trn Loss: 298.2552, Val Loss: 243.8597 [(kW/hour)^2], MinVal : 243.8597412109375
Epoch [14/2000], Trn Loss: 279.2672, Val Loss: 232.2363 [(kW/hour)^2], MinVal : 232.2362823486328
Epoch [15/2000], Trn Loss: 264.2181, Val Loss: 223.9705 [(kW/hour)^2], MinVal : 223.970458984375
Epoch [16/2000], Trn Loss: 253.0006, Val Loss: 217.9473 [(kW/hour)^2], MinVal : 217.94732666015625
Epoch [17/2000], Trn Loss: 244.4802, Val Loss: 213.2246 [(kW/hour)^2], MinVal : 213.22462463378906
Epoch [18/2000], Trn Loss: 237.6084, Val Loss: 209.3846 [(kW/hour)^2], MinVal : 209.3846435546875
Epoch [19/2000], Trn Loss: 231.8456, Val Loss: 206.2740 [(kW/hour)^2], MinVal : 206.27395629882812
Epoch [20/2000], Trn Loss: 226.9828, Val Loss: 203.7831 [(kW/hour)^2], MinVal : 203.78306579589844
Epoch [21/2000], Trn Loss: 222.8905, Val Loss: 201.8152 [(kW/hour)^2], MinVal : 201.81524658203125
Epoch [22/2000], Trn Loss: 219.4610, Val Loss: 200.2813 [(kW/hour)^2], MinVal : 200.2813262939453
Epoch [23/2000], Trn Loss: 216.5977, Val Loss: 199.1053 [(kW/hour)^2], MinVal : 199.1052703857422
Epoch [24/2000], Trn Loss: 214.2197, Val Loss: 198.2036 [(kW/hour)^2], MinVal : 198.20355224609375
Epoch [25/2000], Trn Loss: 212.2294, Val Loss: 197.5317 [(kW/hour)^2], MinVal : 197.53167724609375
Epoch [26/2000], Trn Loss: 210.5794, Val Loss: 197.0302 [(kW/hour)^2], MinVal : 197.0301513671875
Epoch [27/2000], Trn Loss: 209.2072, Val Loss: 196.6625 [(kW/hour)^2], MinVal : 196.66246032714844
Epoch [28/2000], Trn Loss: 208.0721, Val Loss: 196.3323 [(kW/hour)^2], MinVal : 196.332275390625
Epoch [29/2000], Trn Loss: 207.0999, Val Loss: 196.0154 [(kW/hour)^2], MinVal : 196.01541137695312
Epoch [30/2000], Trn Loss: 206.1883, Val Loss: 195.7467 [(kW/hour)^2], MinVal : 195.7467498779297
Epoch [31/2000], Trn Loss: 205.3830, Val Loss: 195.3598 [(kW/hour)^2], MinVal : 195.35983276367188
Epoch [32/2000], Trn Loss: 204.5325, Val Loss: 194.9195 [(kW/hour)^2], MinVal : 194.91952514648438
Epoch [33/2000], Trn Loss: 203.7832, Val Loss: 194.4786 [(kW/hour)^2], MinVal : 194.47860717773438
Epoch [34/2000], Trn Loss: 202.9466, Val Loss: 193.7223 [(kW/hour)^2], MinVal : 193.7223358154297
Epoch [35/2000], Trn Loss: 201.9161, Val Loss: 192.7792 [(kW/hour)^2], MinVal : 192.77915954589844
