
###################################################################
###################################################################
###################################################################

Current time: 2023-10-31 10:23:07.020210

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.1, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 396.1054, Val Loss: 341.7601 [(kW/hour)^2], MinVal : 341.7601013183594
Epoch [2/2000], Trn Loss: 393.6866, Val Loss: 339.5901 [(kW/hour)^2], MinVal : 339.59014892578125
Epoch [3/2000], Trn Loss: 391.2159, Val Loss: 337.2315 [(kW/hour)^2], MinVal : 337.2314758300781
Epoch [4/2000], Trn Loss: 388.5303, Val Loss: 334.5117 [(kW/hour)^2], MinVal : 334.5116882324219
Epoch [5/2000], Trn Loss: 385.4341, Val Loss: 331.1964 [(kW/hour)^2], MinVal : 331.1964111328125
Epoch [6/2000], Trn Loss: 381.6608, Val Loss: 326.9467 [(kW/hour)^2], MinVal : 326.9466857910156
Epoch [7/2000], Trn Loss: 376.8249, Val Loss: 321.2317 [(kW/hour)^2], MinVal : 321.2316589355469
Epoch [8/2000], Trn Loss: 370.3198, Val Loss: 313.2274 [(kW/hour)^2], MinVal : 313.2274475097656
Epoch [9/2000], Trn Loss: 361.1959, Val Loss: 301.8961 [(kW/hour)^2], MinVal : 301.89605712890625
Epoch [10/2000], Trn Loss: 348.2240, Val Loss: 286.7362 [(kW/hour)^2], MinVal : 286.7361755371094
Epoch [11/2000], Trn Loss: 330.6959, Val Loss: 269.1330 [(kW/hour)^2], MinVal : 269.1329650878906
Epoch [12/2000], Trn Loss: 309.9747, Val Loss: 252.3708 [(kW/hour)^2], MinVal : 252.37081909179688
Epoch [13/2000], Trn Loss: 289.6869, Val Loss: 239.3120 [(kW/hour)^2], MinVal : 239.3119659423828
Epoch [14/2000], Trn Loss: 273.2577, Val Loss: 230.1864 [(kW/hour)^2], MinVal : 230.18643188476562
Epoch [15/2000], Trn Loss: 261.2428, Val Loss: 223.5288 [(kW/hour)^2], MinVal : 223.52880859375
Epoch [16/2000], Trn Loss: 252.1506, Val Loss: 218.2258 [(kW/hour)^2], MinVal : 218.2257537841797
Epoch [17/2000], Trn Loss: 244.7365, Val Loss: 213.8538 [(kW/hour)^2], MinVal : 213.85377502441406
Epoch [18/2000], Trn Loss: 238.4747, Val Loss: 210.2475 [(kW/hour)^2], MinVal : 210.24745178222656
Epoch [19/2000], Trn Loss: 233.1531, Val Loss: 207.2857 [(kW/hour)^2], MinVal : 207.28570556640625
Epoch [20/2000], Trn Loss: 228.6254, Val Loss: 204.8612 [(kW/hour)^2], MinVal : 204.8612060546875
Epoch [21/2000], Trn Loss: 224.7661, Val Loss: 202.8852 [(kW/hour)^2], MinVal : 202.88516235351562
Epoch [22/2000], Trn Loss: 221.4810, Val Loss: 201.2824 [(kW/hour)^2], MinVal : 201.28237915039062
Epoch [23/2000], Trn Loss: 218.6827, Val Loss: 199.9805 [(kW/hour)^2], MinVal : 199.98049926757812
Epoch [24/2000], Trn Loss: 216.2960, Val Loss: 198.9189 [(kW/hour)^2], MinVal : 198.91893005371094
Epoch [25/2000], Trn Loss: 214.2560, Val Loss: 198.0854 [(kW/hour)^2], MinVal : 198.08538818359375
Epoch [26/2000], Trn Loss: 212.5201, Val Loss: 197.4181 [(kW/hour)^2], MinVal : 197.4180908203125
Epoch [27/2000], Trn Loss: 211.0431, Val Loss: 196.8394 [(kW/hour)^2], MinVal : 196.8394317626953
Epoch [28/2000], Trn Loss: 209.7763, Val Loss: 196.3373 [(kW/hour)^2], MinVal : 196.3372802734375
Epoch [29/2000], Trn Loss: 208.6650, Val Loss: 195.8642 [(kW/hour)^2], MinVal : 195.8641815185547
Epoch [30/2000], Trn Loss: 207.6382, Val Loss: 195.4058 [(kW/hour)^2], MinVal : 195.40576171875
Epoch [31/2000], Trn Loss: 206.6848, Val Loss: 194.8904 [(kW/hour)^2], MinVal : 194.89036560058594
Epoch [32/2000], Trn Loss: 205.8195, Val Loss: 194.4383 [(kW/hour)^2], MinVal : 194.43826293945312
Epoch [33/2000], Trn Loss: 204.8704, Val Loss: 193.7915 [(kW/hour)^2], MinVal : 193.79148864746094
Epoch [34/2000], Trn Loss: 203.9619, Val Loss: 192.9782 [(kW/hour)^2], MinVal : 192.9782257080078
Epoch [35/2000], Trn Loss: 202.9875, Val Loss: 192.4982 [(kW/hour)^2], MinVal : 192.49822998046875
Epoch [36/2000], Trn Loss: 202.1363, Val Loss: 191.6271 [(kW/hour)^2], MinVal : 191.62709045410156
Epoch [37/2000], Trn Loss: 201.2454, Val Loss: 190.9036 [(kW/hour)^2], MinVal : 190.9036407470703
Epoch [38/2000], Trn Loss: 200.2915, Val Loss: 190.2620 [(kW/hour)^2], MinVal : 190.26199340820312
Epoch [39/2000], Trn Loss: 199.6553, Val Loss: 189.5192 [(kW/hour)^2], MinVal : 189.51918029785156
Epoch [40/2000], Trn Loss: 198.8960, Val Loss: 188.6735 [(kW/hour)^2], MinVal : 188.6734619140625
Epoch [41/2000], Trn Loss: 198.3808, Val Loss: 188.0426 [(kW/hour)^2], MinVal : 188.0426483154297
Epoch [42/2000], Trn Loss: 197.5287, Val Loss: 187.5494 [(kW/hour)^2], MinVal : 187.5494384765625
Epoch [43/2000], Trn Loss: 196.9612, Val Loss: 186.7071 [(kW/hour)^2], MinVal : 186.70713806152344
Epoch [44/2000], Trn Loss: 196.4835, Val Loss: 186.1777 [(kW/hour)^2], MinVal : 186.1776885986328
Epoch [45/2000], Trn Loss: 195.7910, Val Loss: 185.5831 [(kW/hour)^2], MinVal : 185.58306884765625
Epoch [46/2000], Trn Loss: 195.2903, Val Loss: 184.7329 [(kW/hour)^2], MinVal : 184.73291015625
Epoch [47/2000], Trn Loss: 194.6542, Val Loss: 183.8314 [(kW/hour)^2], MinVal : 183.83143615722656
Epoch [48/2000], Trn Loss: 193.9243, Val Loss: 182.8956 [(kW/hour)^2], MinVal : 182.89559936523438
Epoch [49/2000], Trn Loss: 193.5440, Val Loss: 182.4510 [(kW/hour)^2], MinVal : 182.4510040283203
Epoch [50/2000], Trn Loss: 192.8485, Val Loss: 181.8811 [(kW/hour)^2], MinVal : 181.8810577392578
Epoch [51/2000], Trn Loss: 192.5969, Val Loss: 182.0453 [(kW/hour)^2], MinVal : 181.8810577392578
Epoch [52/2000], Trn Loss: 192.3234, Val Loss: 181.4391 [(kW/hour)^2], MinVal : 181.43910217285156
Epoch [53/2000], Trn Loss: 191.8792, Val Loss: 180.8824 [(kW/hour)^2], MinVal : 180.88243103027344
Epoch [54/2000], Trn Loss: 191.3933, Val Loss: 180.4460 [(kW/hour)^2], MinVal : 180.44601440429688
Epoch [55/2000], Trn Loss: 190.9270, Val Loss: 180.1288 [(kW/hour)^2], MinVal : 180.12875366210938
Epoch [56/2000], Trn Loss: 190.4468, Val Loss: 179.8509 [(kW/hour)^2], MinVal : 179.8508758544922
Epoch [57/2000], Trn Loss: 190.0405, Val Loss: 179.4691 [(kW/hour)^2], MinVal : 179.46905517578125
Epoch [58/2000], Trn Loss: 189.5905, Val Loss: 179.3418 [(kW/hour)^2], MinVal : 179.341796875
Epoch [59/2000], Trn Loss: 189.2209, Val Loss: 179.1242 [(kW/hour)^2], MinVal : 179.1241912841797
Epoch [60/2000], Trn Loss: 188.8567, Val Loss: 178.9167 [(kW/hour)^2], MinVal : 178.91673278808594
Epoch [61/2000], Trn Loss: 188.4594, Val Loss: 178.6388 [(kW/hour)^2], MinVal : 178.6387939453125
Epoch [62/2000], Trn Loss: 188.0405, Val Loss: 178.3225 [(kW/hour)^2], MinVal : 178.32254028320312
Epoch [63/2000], Trn Loss: 187.4908, Val Loss: 178.2493 [(kW/hour)^2], MinVal : 178.24932861328125
Epoch [64/2000], Trn Loss: 187.0120, Val Loss: 177.8476 [(kW/hour)^2], MinVal : 177.84762573242188
Epoch [65/2000], Trn Loss: 186.4566, Val Loss: 177.8220 [(kW/hour)^2], MinVal : 177.82203674316406
Epoch [66/2000], Trn Loss: 186.6996, Val Loss: 177.3730 [(kW/hour)^2], MinVal : 177.3730010986328
Epoch [67/2000], Trn Loss: 185.5631, Val Loss: 177.2662 [(kW/hour)^2], MinVal : 177.26617431640625
Epoch [68/2000], Trn Loss: 185.2438, Val Loss: 176.9666 [(kW/hour)^2], MinVal : 176.9666290283203
Epoch [69/2000], Trn Loss: 184.6895, Val Loss: 176.6081 [(kW/hour)^2], MinVal : 176.60813903808594
Epoch [70/2000], Trn Loss: 184.1084, Val Loss: 176.2080 [(kW/hour)^2], MinVal : 176.20802307128906
Epoch [71/2000], Trn Loss: 183.6013, Val Loss: 175.7537 [(kW/hour)^2], MinVal : 175.753662109375
Epoch [72/2000], Trn Loss: 183.0961, Val Loss: 175.3474 [(kW/hour)^2], MinVal : 175.347412109375
Epoch [73/2000], Trn Loss: 182.5165, Val Loss: 175.0871 [(kW/hour)^2], MinVal : 175.0871124267578
Epoch [74/2000], Trn Loss: 181.8934, Val Loss: 174.3318 [(kW/hour)^2], MinVal : 174.3318328857422
Epoch [75/2000], Trn Loss: 180.9953, Val Loss: 173.5921 [(kW/hour)^2], MinVal : 173.59210205078125
Epoch [76/2000], Trn Loss: 180.2527, Val Loss: 172.6030 [(kW/hour)^2], MinVal : 172.60301208496094
Epoch [77/2000], Trn Loss: 179.4599, Val Loss: 171.7198 [(kW/hour)^2], MinVal : 171.71983337402344
Epoch [78/2000], Trn Loss: 178.4668, Val Loss: 171.0472 [(kW/hour)^2], MinVal : 171.04722595214844
Epoch [79/2000], Trn Loss: 177.5846, Val Loss: 170.1412 [(kW/hour)^2], MinVal : 170.14117431640625
Epoch [80/2000], Trn Loss: 176.4082, Val Loss: 169.0900 [(kW/hour)^2], MinVal : 169.0900421142578
Epoch [81/2000], Trn Loss: 175.6269, Val Loss: 167.9351 [(kW/hour)^2], MinVal : 167.93511962890625
Epoch [82/2000], Trn Loss: 174.7683, Val Loss: 166.6201 [(kW/hour)^2], MinVal : 166.62013244628906
Epoch [83/2000], Trn Loss: 173.4665, Val Loss: 164.7564 [(kW/hour)^2], MinVal : 164.75640869140625
Epoch [84/2000], Trn Loss: 171.7724, Val Loss: 162.4718 [(kW/hour)^2], MinVal : 162.4718475341797
Epoch [85/2000], Trn Loss: 170.1061, Val Loss: 159.0276 [(kW/hour)^2], MinVal : 159.02755737304688
Epoch [86/2000], Trn Loss: 167.0163, Val Loss: 154.1309 [(kW/hour)^2], MinVal : 154.130859375
Epoch [87/2000], Trn Loss: 163.3852, Val Loss: 151.7175 [(kW/hour)^2], MinVal : 151.71751403808594
Epoch [88/2000], Trn Loss: 162.9837, Val Loss: 151.5103 [(kW/hour)^2], MinVal : 151.5102996826172
Epoch [89/2000], Trn Loss: 163.5942, Val Loss: 150.7732 [(kW/hour)^2], MinVal : 150.77316284179688
Epoch [90/2000], Trn Loss: 161.8906, Val Loss: 150.0673 [(kW/hour)^2], MinVal : 150.0672607421875
Epoch [91/2000], Trn Loss: 159.5575, Val Loss: 150.4146 [(kW/hour)^2], MinVal : 150.0672607421875
Epoch [92/2000], Trn Loss: 158.4472, Val Loss: 150.6694 [(kW/hour)^2], MinVal : 150.0672607421875
Epoch [93/2000], Trn Loss: 157.9203, Val Loss: 150.0034 [(kW/hour)^2], MinVal : 150.00335693359375
Epoch [94/2000], Trn Loss: 156.9737, Val Loss: 148.3474 [(kW/hour)^2], MinVal : 148.34744262695312
Epoch [95/2000], Trn Loss: 155.5353, Val Loss: 146.1467 [(kW/hour)^2], MinVal : 146.1466827392578
Epoch [96/2000], Trn Loss: 154.0184, Val Loss: 144.7207 [(kW/hour)^2], MinVal : 144.7206573486328
Epoch [97/2000], Trn Loss: 153.1555, Val Loss: 144.0056 [(kW/hour)^2], MinVal : 144.005615234375
Epoch [98/2000], Trn Loss: 152.3815, Val Loss: 143.9398 [(kW/hour)^2], MinVal : 143.9397735595703
Epoch [99/2000], Trn Loss: 151.4771, Val Loss: 144.1038 [(kW/hour)^2], MinVal : 143.9397735595703
Epoch [100/2000], Trn Loss: 150.7198, Val Loss: 143.6570 [(kW/hour)^2], MinVal : 143.65699768066406
Epoch [101/2000], Trn Loss: 149.7780, Val Loss: 142.7522 [(kW/hour)^2], MinVal : 142.752197265625
Epoch [102/2000], Trn Loss: 148.8327, Val Loss: 141.8355 [(kW/hour)^2], MinVal : 141.83546447753906
Epoch [103/2000], Trn Loss: 148.0233, Val Loss: 140.8699 [(kW/hour)^2], MinVal : 140.86988830566406
Epoch [104/2000], Trn Loss: 147.2095, Val Loss: 139.9270 [(kW/hour)^2], MinVal : 139.927001953125
Epoch [105/2000], Trn Loss: 146.4062, Val Loss: 139.1737 [(kW/hour)^2], MinVal : 139.1736602783203
Epoch [106/2000], Trn Loss: 145.5342, Val Loss: 138.5454 [(kW/hour)^2], MinVal : 138.5453643798828
Epoch [107/2000], Trn Loss: 144.5861, Val Loss: 137.9415 [(kW/hour)^2], MinVal : 137.94149780273438
Epoch [108/2000], Trn Loss: 143.6156, Val Loss: 137.2849 [(kW/hour)^2], MinVal : 137.28489685058594
Epoch [109/2000], Trn Loss: 142.6953, Val Loss: 136.5335 [(kW/hour)^2], MinVal : 136.5334930419922
Epoch [110/2000], Trn Loss: 141.8444, Val Loss: 135.6228 [(kW/hour)^2], MinVal : 135.62278747558594
Epoch [111/2000], Trn Loss: 140.9836, Val Loss: 134.6375 [(kW/hour)^2], MinVal : 134.63746643066406
Epoch [112/2000], Trn Loss: 139.9883, Val Loss: 133.6132 [(kW/hour)^2], MinVal : 133.6131591796875
Epoch [113/2000], Trn Loss: 138.9775, Val Loss: 132.3791 [(kW/hour)^2], MinVal : 132.3790740966797
Epoch [114/2000], Trn Loss: 138.0006, Val Loss: 131.1752 [(kW/hour)^2], MinVal : 131.1752166748047
Epoch [115/2000], Trn Loss: 136.9959, Val Loss: 130.2051 [(kW/hour)^2], MinVal : 130.20506286621094
Epoch [116/2000], Trn Loss: 135.8485, Val Loss: 129.2817 [(kW/hour)^2], MinVal : 129.2816925048828
Epoch [117/2000], Trn Loss: 134.6671, Val Loss: 128.8870 [(kW/hour)^2], MinVal : 128.88697814941406
Epoch [118/2000], Trn Loss: 133.6668, Val Loss: 127.2702 [(kW/hour)^2], MinVal : 127.2701644897461
Epoch [119/2000], Trn Loss: 135.0134, Val Loss: 132.3468 [(kW/hour)^2], MinVal : 127.2701644897461
Epoch [120/2000], Trn Loss: 134.3387, Val Loss: 126.6132 [(kW/hour)^2], MinVal : 126.6131591796875
Epoch [121/2000], Trn Loss: 131.2412, Val Loss: 124.0573 [(kW/hour)^2], MinVal : 124.05729675292969
Epoch [122/2000], Trn Loss: 132.4538, Val Loss: 124.8205 [(kW/hour)^2], MinVal : 124.05729675292969
Epoch [123/2000], Trn Loss: 129.7522, Val Loss: 130.6741 [(kW/hour)^2], MinVal : 124.05729675292969
Epoch [124/2000], Trn Loss: 131.5779, Val Loss: 124.3715 [(kW/hour)^2], MinVal : 124.05729675292969
Epoch [125/2000], Trn Loss: 128.1136, Val Loss: 121.6148 [(kW/hour)^2], MinVal : 121.61480712890625
Epoch [126/2000], Trn Loss: 129.9248, Val Loss: 121.9430 [(kW/hour)^2], MinVal : 121.61480712890625
Epoch [127/2000], Trn Loss: 126.3903, Val Loss: 128.0008 [(kW/hour)^2], MinVal : 121.61480712890625
Epoch [128/2000], Trn Loss: 128.1909, Val Loss: 122.8201 [(kW/hour)^2], MinVal : 121.61480712890625
Epoch [129/2000], Trn Loss: 125.1484, Val Loss: 119.4015 [(kW/hour)^2], MinVal : 119.40148162841797
Epoch [130/2000], Trn Loss: 126.6414, Val Loss: 118.8564 [(kW/hour)^2], MinVal : 118.8564453125
Epoch [131/2000], Trn Loss: 124.0176, Val Loss: 124.6741 [(kW/hour)^2], MinVal : 118.8564453125
Epoch [132/2000], Trn Loss: 124.4996, Val Loss: 121.6550 [(kW/hour)^2], MinVal : 118.8564453125
Epoch [133/2000], Trn Loss: 122.5081, Val Loss: 116.9855 [(kW/hour)^2], MinVal : 116.98553466796875
Epoch [134/2000], Trn Loss: 122.0573, Val Loss: 116.2101 [(kW/hour)^2], MinVal : 116.21006774902344
Epoch [135/2000], Trn Loss: 121.2655, Val Loss: 119.0880 [(kW/hour)^2], MinVal : 116.21006774902344
Epoch [136/2000], Trn Loss: 119.7161, Val Loss: 119.3386 [(kW/hour)^2], MinVal : 116.21006774902344
Epoch [137/2000], Trn Loss: 119.1842, Val Loss: 114.0816 [(kW/hour)^2], MinVal : 114.08164978027344
Epoch [138/2000], Trn Loss: 118.4940, Val Loss: 113.4256 [(kW/hour)^2], MinVal : 113.42559814453125
Epoch [139/2000], Trn Loss: 116.7696, Val Loss: 119.3042 [(kW/hour)^2], MinVal : 113.42559814453125
Epoch [140/2000], Trn Loss: 117.4287, Val Loss: 111.9407 [(kW/hour)^2], MinVal : 111.94071960449219
