
###################################################################
###################################################################
###################################################################

Current time: 2023-11-03 10:43:13.657550

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: LSTM


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 203016

Epoch [1/2000], Trn Loss: 396.5545, Val Loss: 342.3092 [(kW/hour)^2], MinVal : 342.3092041015625
Epoch [2/2000], Trn Loss: 394.3083, Val Loss: 340.3514 [(kW/hour)^2], MinVal : 340.3514099121094
Epoch [3/2000], Trn Loss: 392.0814, Val Loss: 338.2930 [(kW/hour)^2], MinVal : 338.29296875
Epoch [4/2000], Trn Loss: 389.7379, Val Loss: 336.0021 [(kW/hour)^2], MinVal : 336.0021057128906
Epoch [5/2000], Trn Loss: 387.1297, Val Loss: 333.3169 [(kW/hour)^2], MinVal : 333.3169250488281
Epoch [6/2000], Trn Loss: 384.0731, Val Loss: 330.0151 [(kW/hour)^2], MinVal : 330.0151062011719
Epoch [7/2000], Trn Loss: 380.3147, Val Loss: 325.7597 [(kW/hour)^2], MinVal : 325.7596740722656
Epoch [8/2000], Trn Loss: 375.4720, Val Loss: 319.9995 [(kW/hour)^2], MinVal : 319.99951171875
Epoch [9/2000], Trn Loss: 368.9158, Val Loss: 311.8249 [(kW/hour)^2], MinVal : 311.8249206542969
Epoch [10/2000], Trn Loss: 359.6017, Val Loss: 299.9708 [(kW/hour)^2], MinVal : 299.97076416015625
Epoch [11/2000], Trn Loss: 346.0484, Val Loss: 283.6620 [(kW/hour)^2], MinVal : 283.66204833984375
Epoch [12/2000], Trn Loss: 327.2406, Val Loss: 264.6304 [(kW/hour)^2], MinVal : 264.6304016113281
Epoch [13/2000], Trn Loss: 304.9139, Val Loss: 247.0185 [(kW/hour)^2], MinVal : 247.0185089111328
Epoch [14/2000], Trn Loss: 283.6577, Val Loss: 233.4660 [(kW/hour)^2], MinVal : 233.46604919433594
Epoch [15/2000], Trn Loss: 266.6197, Val Loss: 223.7408 [(kW/hour)^2], MinVal : 223.74081420898438
Epoch [16/2000], Trn Loss: 253.7659, Val Loss: 216.8583 [(kW/hour)^2], MinVal : 216.85830688476562
Epoch [17/2000], Trn Loss: 244.1400, Val Loss: 211.7237 [(kW/hour)^2], MinVal : 211.72366333007812
Epoch [18/2000], Trn Loss: 236.6093, Val Loss: 207.6247 [(kW/hour)^2], MinVal : 207.62466430664062
Epoch [19/2000], Trn Loss: 230.3873, Val Loss: 204.2464 [(kW/hour)^2], MinVal : 204.24635314941406
Epoch [20/2000], Trn Loss: 225.1282, Val Loss: 201.4894 [(kW/hour)^2], MinVal : 201.48944091796875
Epoch [21/2000], Trn Loss: 220.6575, Val Loss: 199.2353 [(kW/hour)^2], MinVal : 199.23529052734375
Epoch [22/2000], Trn Loss: 216.8557, Val Loss: 197.3866 [(kW/hour)^2], MinVal : 197.38662719726562
Epoch [23/2000], Trn Loss: 213.6209, Val Loss: 195.8206 [(kW/hour)^2], MinVal : 195.8206329345703
Epoch [24/2000], Trn Loss: 210.8009, Val Loss: 194.5184 [(kW/hour)^2], MinVal : 194.5184326171875
Epoch [25/2000], Trn Loss: 208.3756, Val Loss: 193.3946 [(kW/hour)^2], MinVal : 193.39463806152344
Epoch [26/2000], Trn Loss: 206.3456, Val Loss: 192.3676 [(kW/hour)^2], MinVal : 192.36764526367188
Epoch [27/2000], Trn Loss: 204.5157, Val Loss: 191.6963 [(kW/hour)^2], MinVal : 191.6962890625
Epoch [28/2000], Trn Loss: 203.0133, Val Loss: 191.0160 [(kW/hour)^2], MinVal : 191.01600646972656
Epoch [29/2000], Trn Loss: 201.6447, Val Loss: 190.1549 [(kW/hour)^2], MinVal : 190.15487670898438
Epoch [30/2000], Trn Loss: 200.4281, Val Loss: 189.4149 [(kW/hour)^2], MinVal : 189.4149169921875
Epoch [31/2000], Trn Loss: 199.1560, Val Loss: 188.9791 [(kW/hour)^2], MinVal : 188.97914123535156
Epoch [32/2000], Trn Loss: 198.2371, Val Loss: 188.1887 [(kW/hour)^2], MinVal : 188.1886749267578
Epoch [33/2000], Trn Loss: 197.1756, Val Loss: 187.6423 [(kW/hour)^2], MinVal : 187.6422576904297
Epoch [34/2000], Trn Loss: 196.4390, Val Loss: 186.9203 [(kW/hour)^2], MinVal : 186.9203338623047
Epoch [35/2000], Trn Loss: 195.8974, Val Loss: 186.3124 [(kW/hour)^2], MinVal : 186.3123779296875
Epoch [36/2000], Trn Loss: 195.3248, Val Loss: 185.7508 [(kW/hour)^2], MinVal : 185.75076293945312
Epoch [37/2000], Trn Loss: 195.0320, Val Loss: 184.8985 [(kW/hour)^2], MinVal : 184.89845275878906
Epoch [38/2000], Trn Loss: 194.5475, Val Loss: 184.1770 [(kW/hour)^2], MinVal : 184.17698669433594
Epoch [39/2000], Trn Loss: 193.9449, Val Loss: 183.7744 [(kW/hour)^2], MinVal : 183.77444458007812
Epoch [40/2000], Trn Loss: 193.0324, Val Loss: 183.1099 [(kW/hour)^2], MinVal : 183.10992431640625
Epoch [41/2000], Trn Loss: 192.5624, Val Loss: 182.8067 [(kW/hour)^2], MinVal : 182.80674743652344
Epoch [42/2000], Trn Loss: 192.0965, Val Loss: 182.6543 [(kW/hour)^2], MinVal : 182.65431213378906
Epoch [43/2000], Trn Loss: 191.4558, Val Loss: 182.3474 [(kW/hour)^2], MinVal : 182.347412109375
Epoch [44/2000], Trn Loss: 190.9634, Val Loss: 182.1045 [(kW/hour)^2], MinVal : 182.10446166992188
Epoch [45/2000], Trn Loss: 190.3538, Val Loss: 181.8301 [(kW/hour)^2], MinVal : 181.830078125
Epoch [46/2000], Trn Loss: 189.9660, Val Loss: 181.5345 [(kW/hour)^2], MinVal : 181.53451538085938
Epoch [47/2000], Trn Loss: 189.5584, Val Loss: 181.1658 [(kW/hour)^2], MinVal : 181.16583251953125
Epoch [48/2000], Trn Loss: 188.9975, Val Loss: 180.6916 [(kW/hour)^2], MinVal : 180.69161987304688
Epoch [49/2000], Trn Loss: 188.4501, Val Loss: 180.4246 [(kW/hour)^2], MinVal : 180.4246368408203
Epoch [50/2000], Trn Loss: 187.9256, Val Loss: 180.4468 [(kW/hour)^2], MinVal : 180.4246368408203
Epoch [51/2000], Trn Loss: 187.3909, Val Loss: 180.1937 [(kW/hour)^2], MinVal : 180.19371032714844
Epoch [52/2000], Trn Loss: 186.8031, Val Loss: 179.6799 [(kW/hour)^2], MinVal : 179.67987060546875
Epoch [53/2000], Trn Loss: 186.3866, Val Loss: 179.2066 [(kW/hour)^2], MinVal : 179.20664978027344
Epoch [54/2000], Trn Loss: 185.6540, Val Loss: 178.2675 [(kW/hour)^2], MinVal : 178.26754760742188
Epoch [55/2000], Trn Loss: 184.9028, Val Loss: 177.7032 [(kW/hour)^2], MinVal : 177.70323181152344
Epoch [56/2000], Trn Loss: 184.3210, Val Loss: 177.1077 [(kW/hour)^2], MinVal : 177.10769653320312
