
###################################################################
###################################################################
###################################################################

Current time: 2023-10-17 02:05:43.901195

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.2, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.


###################################################################
###################################################################
###################################################################

Current time: 2023-10-17 02:05:59.434908

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.2, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 396.2564, Second Loss: -77777.0000, Val Loss: 342.0323 [(kW/hour)^2], MinVal : 342.0323486328125
Epoch [2/2000], First Loss: 394.0071, Second Loss: -77777.0000, Val Loss: 340.0712 [(kW/hour)^2], MinVal : 340.0711669921875
Epoch [3/2000], First Loss: 391.7730, Second Loss: -77777.0000, Val Loss: 338.0210 [(kW/hour)^2], MinVal : 338.0210266113281
Epoch [4/2000], First Loss: 389.4375, Second Loss: -77777.0000, Val Loss: 335.7693 [(kW/hour)^2], MinVal : 335.76934814453125
Epoch [5/2000], First Loss: 386.8736, Second Loss: -77777.0000, Val Loss: 333.1780 [(kW/hour)^2], MinVal : 333.1780090332031
Epoch [6/2000], First Loss: 383.9237, Second Loss: -77777.0000, Val Loss: 330.0571 [(kW/hour)^2], MinVal : 330.0570983886719
Epoch [7/2000], First Loss: 380.3724, Second Loss: -77777.0000, Val Loss: 326.1203 [(kW/hour)^2], MinVal : 326.12030029296875
Epoch [8/2000], First Loss: 375.8948, Second Loss: -77777.0000, Val Loss: 320.9014 [(kW/hour)^2], MinVal : 320.90142822265625
Epoch [9/2000], First Loss: 369.9606, Second Loss: -77777.0000, Val Loss: 313.6332 [(kW/hour)^2], MinVal : 313.6332092285156
Epoch [10/2000], First Loss: 361.6925, Second Loss: -77777.0000, Val Loss: 303.1787 [(kW/hour)^2], MinVal : 303.1786804199219
Epoch [11/2000], First Loss: 349.7706, Second Loss: -77777.0000, Val Loss: 288.5410 [(kW/hour)^2], MinVal : 288.5410461425781
Epoch [12/2000], First Loss: 332.9543, Second Loss: -77777.0000, Val Loss: 270.6455 [(kW/hour)^2], MinVal : 270.6455383300781
Epoch [13/2000], First Loss: 312.0410, Second Loss: -77777.0000, Val Loss: 253.0439 [(kW/hour)^2], MinVal : 253.04388427734375
Epoch [14/2000], First Loss: 290.8750, Second Loss: -77777.0000, Val Loss: 238.6737 [(kW/hour)^2], MinVal : 238.67373657226562
Epoch [15/2000], First Loss: 272.9498, Second Loss: -77777.0000, Val Loss: 227.8428 [(kW/hour)^2], MinVal : 227.8428497314453
Epoch [16/2000], First Loss: 258.8852, Second Loss: -77777.0000, Val Loss: 219.8660 [(kW/hour)^2], MinVal : 219.86602783203125
Epoch [17/2000], First Loss: 248.0271, Second Loss: -77777.0000, Val Loss: 213.9315 [(kW/hour)^2], MinVal : 213.93154907226562
Epoch [18/2000], First Loss: 239.5359, Second Loss: -77777.0000, Val Loss: 209.2925 [(kW/hour)^2], MinVal : 209.29248046875
Epoch [19/2000], First Loss: 232.6333, Second Loss: -77777.0000, Val Loss: 205.5578 [(kW/hour)^2], MinVal : 205.55780029296875
Epoch [20/2000], First Loss: 226.8868, Second Loss: -77777.0000, Val Loss: 202.6019 [(kW/hour)^2], MinVal : 202.60194396972656
Epoch [21/2000], First Loss: 222.1092, Second Loss: -77777.0000, Val Loss: 200.2893 [(kW/hour)^2], MinVal : 200.289306640625
Epoch [22/2000], First Loss: 218.1898, Second Loss: -77777.0000, Val Loss: 198.5107 [(kW/hour)^2], MinVal : 198.5106964111328
Epoch [23/2000], First Loss: 214.9584, Second Loss: -77777.0000, Val Loss: 197.1136 [(kW/hour)^2], MinVal : 197.11358642578125
Epoch [24/2000], First Loss: 212.2830, Second Loss: -77777.0000, Val Loss: 195.9911 [(kW/hour)^2], MinVal : 195.99111938476562
Epoch [25/2000], First Loss: 210.0879, Second Loss: -77777.0000, Val Loss: 195.0832 [(kW/hour)^2], MinVal : 195.0832061767578
Epoch [26/2000], First Loss: 208.2365, Second Loss: -77777.0000, Val Loss: 194.3457 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [27/2000], First Loss: 206.5664, Second Loss: -77777.0000, Val Loss: 194.5739 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [28/2000], First Loss: 205.9698, Second Loss: -77777.0000, Val Loss: 194.9010 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [29/2000], First Loss: 205.4558, Second Loss: -77777.0000, Val Loss: 195.1919 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [30/2000], First Loss: 205.0549, Second Loss: -77777.0000, Val Loss: 195.4505 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [31/2000], First Loss: 204.7103, Second Loss: -77777.0000, Val Loss: 195.6927 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [32/2000], First Loss: 204.4380, Second Loss: -77777.0000, Val Loss: 195.9550 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [33/2000], First Loss: 204.1807, Second Loss: -77777.0000, Val Loss: 196.1729 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [34/2000], First Loss: 203.9514, Second Loss: -77777.0000, Val Loss: 196.3721 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [35/2000], First Loss: 203.7447, Second Loss: -77777.0000, Val Loss: 196.5743 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [36/2000], First Loss: 203.5753, Second Loss: -77777.0000, Val Loss: 196.7678 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [37/2000], First Loss: 203.4281, Second Loss: -77777.0000, Val Loss: 196.9536 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [38/2000], First Loss: 203.2962, Second Loss: -77777.0000, Val Loss: 197.1331 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [39/2000], First Loss: 203.1787, Second Loss: -77777.0000, Val Loss: 197.3046 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [40/2000], First Loss: 203.0726, Second Loss: -77777.0000, Val Loss: 197.4610 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [41/2000], First Loss: 202.9838, Second Loss: -77777.0000, Val Loss: 197.6160 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [42/2000], First Loss: 202.8969, Second Loss: -77777.0000, Val Loss: 197.7578 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [43/2000], First Loss: 202.8126, Second Loss: -77777.0000, Val Loss: 197.8771 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [44/2000], First Loss: 202.7231, Second Loss: -77777.0000, Val Loss: 197.9985 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [45/2000], First Loss: 202.6538, Second Loss: -77777.0000, Val Loss: 198.1021 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [46/2000], First Loss: 202.5767, Second Loss: -77777.0000, Val Loss: 198.1921 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [47/2000], First Loss: 202.4925, Second Loss: -77777.0000, Val Loss: 198.2484 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [48/2000], First Loss: 202.4080, Second Loss: -77777.0000, Val Loss: 198.3127 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [49/2000], First Loss: 202.3368, Second Loss: -77777.0000, Val Loss: 198.3620 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [50/2000], First Loss: 202.2579, Second Loss: -77777.0000, Val Loss: 198.4120 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [51/2000], First Loss: 202.1863, Second Loss: -77777.0000, Val Loss: 198.4240 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [52/2000], First Loss: 202.0904, Second Loss: -77777.0000, Val Loss: 198.3962 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [53/2000], First Loss: 202.0024, Second Loss: -77777.0000, Val Loss: 198.3790 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [54/2000], First Loss: 201.8984, Second Loss: -77777.0000, Val Loss: 198.3645 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [55/2000], First Loss: 201.7939, Second Loss: -77777.0000, Val Loss: 198.3224 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [56/2000], First Loss: 201.7068, Second Loss: -77777.0000, Val Loss: 198.2788 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [57/2000], First Loss: 201.6021, Second Loss: -77777.0000, Val Loss: 198.1623 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [58/2000], First Loss: 201.4550, Second Loss: -77777.0000, Val Loss: 197.8289 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [59/2000], First Loss: 201.1731, Second Loss: -77777.0000, Val Loss: 197.7539 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [60/2000], First Loss: 201.5288, Second Loss: -77777.0000, Val Loss: 197.6353 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [61/2000], First Loss: 201.4019, Second Loss: -77777.0000, Val Loss: 197.5269 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [62/2000], First Loss: 201.2614, Second Loss: -77777.0000, Val Loss: 197.3918 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [63/2000], First Loss: 201.1275, Second Loss: -77777.0000, Val Loss: 197.2096 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [64/2000], First Loss: 200.9745, Second Loss: -77777.0000, Val Loss: 197.0666 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [65/2000], First Loss: 200.7906, Second Loss: -77777.0000, Val Loss: 196.8666 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [66/2000], First Loss: 200.5641, Second Loss: -77777.0000, Val Loss: 196.5345 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [67/2000], First Loss: 200.2943, Second Loss: -77777.0000, Val Loss: 196.0452 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [68/2000], First Loss: 199.9757, Second Loss: -77777.0000, Val Loss: 195.7321 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [69/2000], First Loss: 199.6017, Second Loss: -77777.0000, Val Loss: 194.6940 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [70/2000], First Loss: 198.8291, Second Loss: -77777.0000, Val Loss: 194.8563 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [71/2000], First Loss: 199.9790, Second Loss: -77777.0000, Val Loss: 194.4913 [(kW/hour)^2], MinVal : 194.34573364257812
Epoch [72/2000], First Loss: 199.5440, Second Loss: -77777.0000, Val Loss: 194.1984 [(kW/hour)^2], MinVal : 194.19837951660156
Epoch [73/2000], First Loss: 199.1085, Second Loss: -77777.0000, Val Loss: 193.7335 [(kW/hour)^2], MinVal : 193.7335205078125
Epoch [74/2000], First Loss: 198.6930, Second Loss: -77777.0000, Val Loss: 193.1745 [(kW/hour)^2], MinVal : 193.17449951171875
Epoch [75/2000], First Loss: 198.0515, Second Loss: -77777.0000, Val Loss: 192.4531 [(kW/hour)^2], MinVal : 192.4530792236328
Epoch [76/2000], First Loss: 197.3237, Second Loss: -77777.0000, Val Loss: 191.5491 [(kW/hour)^2], MinVal : 191.54908752441406
Epoch [77/2000], First Loss: 196.6204, Second Loss: -77777.0000, Val Loss: 190.5924 [(kW/hour)^2], MinVal : 190.5924072265625
Epoch [78/2000], First Loss: 195.7956, Second Loss: -77777.0000, Val Loss: 189.5811 [(kW/hour)^2], MinVal : 189.58108520507812
Epoch [79/2000], First Loss: 194.8176, Second Loss: -77777.0000, Val Loss: 188.4205 [(kW/hour)^2], MinVal : 188.4204864501953
Epoch [80/2000], First Loss: 193.8531, Second Loss: -77777.0000, Val Loss: 187.2863 [(kW/hour)^2], MinVal : 187.2863006591797
Epoch [81/2000], First Loss: 193.0648, Second Loss: -77777.0000, Val Loss: 186.2240 [(kW/hour)^2], MinVal : 186.2239990234375
Epoch [82/2000], First Loss: 192.1560, Second Loss: -77777.0000, Val Loss: 184.7671 [(kW/hour)^2], MinVal : 184.76707458496094
Epoch [83/2000], First Loss: 191.1162, Second Loss: -77777.0000, Val Loss: 183.4081 [(kW/hour)^2], MinVal : 183.4080810546875
Epoch [84/2000], First Loss: 190.2614, Second Loss: -77777.0000, Val Loss: 182.0916 [(kW/hour)^2], MinVal : 182.09156799316406
Epoch [85/2000], First Loss: 189.4795, Second Loss: -77777.0000, Val Loss: 180.5941 [(kW/hour)^2], MinVal : 180.59408569335938
Epoch [86/2000], First Loss: 188.4216, Second Loss: -77777.0000, Val Loss: 179.1250 [(kW/hour)^2], MinVal : 179.1250457763672
Epoch [87/2000], First Loss: 187.6947, Second Loss: -77777.0000, Val Loss: 178.1086 [(kW/hour)^2], MinVal : 178.1085662841797
Epoch [88/2000], First Loss: 187.1746, Second Loss: -77777.0000, Val Loss: 177.3224 [(kW/hour)^2], MinVal : 177.3224334716797
Epoch [89/2000], First Loss: 187.2227, Second Loss: -77777.0000, Val Loss: 176.6163 [(kW/hour)^2], MinVal : 176.6163330078125
Epoch [90/2000], First Loss: 187.2667, Second Loss: -77777.0000, Val Loss: 176.0990 [(kW/hour)^2], MinVal : 176.09901428222656
Epoch [91/2000], First Loss: 187.0166, Second Loss: -77777.0000, Val Loss: 175.5316 [(kW/hour)^2], MinVal : 175.53160095214844
Epoch [92/2000], First Loss: 186.7876, Second Loss: -77777.0000, Val Loss: 175.0784 [(kW/hour)^2], MinVal : 175.07843017578125
Epoch [93/2000], First Loss: 186.4861, Second Loss: -77777.0000, Val Loss: 174.4724 [(kW/hour)^2], MinVal : 174.47239685058594
Epoch [94/2000], First Loss: 186.2326, Second Loss: -77777.0000, Val Loss: 174.0724 [(kW/hour)^2], MinVal : 174.07241821289062
Epoch [95/2000], First Loss: 185.5200, Second Loss: -77777.0000, Val Loss: 173.6365 [(kW/hour)^2], MinVal : 173.636474609375
Epoch [96/2000], First Loss: 184.7828, Second Loss: -77777.0000, Val Loss: 173.2428 [(kW/hour)^2], MinVal : 173.2427978515625
Epoch [97/2000], First Loss: 183.9179, Second Loss: -77777.0000, Val Loss: 172.4745 [(kW/hour)^2], MinVal : 172.47445678710938
Epoch [98/2000], First Loss: 182.7503, Second Loss: -77777.0000, Val Loss: 171.7449 [(kW/hour)^2], MinVal : 171.74490356445312
Epoch [99/2000], First Loss: 181.6551, Second Loss: -77777.0000, Val Loss: 170.7729 [(kW/hour)^2], MinVal : 170.77288818359375
Epoch [100/2000], First Loss: 180.3676, Second Loss: -77777.0000, Val Loss: 169.9378 [(kW/hour)^2], MinVal : 169.9378204345703
Epoch [101/2000], First Loss: 179.1395, Second Loss: -77777.0000, Val Loss: 169.3499 [(kW/hour)^2], MinVal : 169.34994506835938
Epoch [102/2000], First Loss: 178.1485, Second Loss: -77777.0000, Val Loss: 168.5141 [(kW/hour)^2], MinVal : 168.51405334472656
Epoch [103/2000], First Loss: 177.0265, Second Loss: -77777.0000, Val Loss: 167.5037 [(kW/hour)^2], MinVal : 167.5037078857422
Epoch [104/2000], First Loss: 175.8017, Second Loss: -77777.0000, Val Loss: 166.2925 [(kW/hour)^2], MinVal : 166.29249572753906
Epoch [105/2000], First Loss: 174.3733, Second Loss: -77777.0000, Val Loss: 165.2681 [(kW/hour)^2], MinVal : 165.26805114746094
Epoch [106/2000], First Loss: 173.0226, Second Loss: -77777.0000, Val Loss: 163.4292 [(kW/hour)^2], MinVal : 163.4291534423828
Epoch [107/2000], First Loss: 171.3380, Second Loss: -77777.0000, Val Loss: 161.1155 [(kW/hour)^2], MinVal : 161.11553955078125
Epoch [108/2000], First Loss: 169.3942, Second Loss: -77777.0000, Val Loss: 158.7568 [(kW/hour)^2], MinVal : 158.75680541992188
Epoch [109/2000], First Loss: 168.0115, Second Loss: -77777.0000, Val Loss: 157.5477 [(kW/hour)^2], MinVal : 157.5477294921875
Epoch [110/2000], First Loss: 167.6500, Second Loss: -77777.0000, Val Loss: 155.8201 [(kW/hour)^2], MinVal : 155.82009887695312
Epoch [111/2000], First Loss: 165.1790, Second Loss: -77777.0000, Val Loss: 154.7879 [(kW/hour)^2], MinVal : 154.78794860839844
Epoch [112/2000], First Loss: 162.9762, Second Loss: -77777.0000, Val Loss: 154.6144 [(kW/hour)^2], MinVal : 154.6143798828125
Epoch [113/2000], First Loss: 161.7718, Second Loss: -77777.0000, Val Loss: 154.1302 [(kW/hour)^2], MinVal : 154.13015747070312
Epoch [114/2000], First Loss: 160.6147, Second Loss: -77777.0000, Val Loss: 153.0307 [(kW/hour)^2], MinVal : 153.03067016601562
Epoch [115/2000], First Loss: 159.3455, Second Loss: -77777.0000, Val Loss: 150.8115 [(kW/hour)^2], MinVal : 150.8115234375
Epoch [116/2000], First Loss: 157.5654, Second Loss: -77777.0000, Val Loss: 148.4478 [(kW/hour)^2], MinVal : 148.4477996826172
Epoch [117/2000], First Loss: 156.1518, Second Loss: -77777.0000, Val Loss: 147.2442 [(kW/hour)^2], MinVal : 147.2441864013672
Epoch [118/2000], First Loss: 155.5473, Second Loss: -77777.0000, Val Loss: 146.5747 [(kW/hour)^2], MinVal : 146.57469177246094
Epoch [119/2000], First Loss: 154.2797, Second Loss: -77777.0000, Val Loss: 146.4543 [(kW/hour)^2], MinVal : 146.45428466796875
Epoch [120/2000], First Loss: 152.9948, Second Loss: -77777.0000, Val Loss: 146.2340 [(kW/hour)^2], MinVal : 146.23403930664062
Epoch [121/2000], First Loss: 151.9571, Second Loss: -77777.0000, Val Loss: 145.1797 [(kW/hour)^2], MinVal : 145.17970275878906
Epoch [122/2000], First Loss: 150.7704, Second Loss: -77777.0000, Val Loss: 143.3236 [(kW/hour)^2], MinVal : 143.3236083984375
Epoch [123/2000], First Loss: 149.4615, Second Loss: -77777.0000, Val Loss: 141.4679 [(kW/hour)^2], MinVal : 141.4678955078125
Epoch [124/2000], First Loss: 148.5853, Second Loss: -77777.0000, Val Loss: 140.3443 [(kW/hour)^2], MinVal : 140.34434509277344
Epoch [125/2000], First Loss: 148.0326, Second Loss: -77777.0000, Val Loss: 139.7755 [(kW/hour)^2], MinVal : 139.77552795410156
