
###################################################################
###################################################################
###################################################################

Current time: 2023-10-10 02:30:04.344665

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 14, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: correction_LSTMs


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in first model : 203016

The number of parameter in second model : 201480

Epoch [1/2000], First Loss: 673.9865, Second Loss: 676.3332, Val Loss: 575.5866 [(kW/hour)^2], MinVal : 575.5866088867188
Epoch [2/2000], First Loss: 671.1456, Second Loss: 674.1743, Val Loss: 573.6074 [(kW/hour)^2], MinVal : 573.607421875
Epoch [3/2000], First Loss: 667.9676, Second Loss: 671.8774, Val Loss: 571.5309 [(kW/hour)^2], MinVal : 571.5308837890625
Epoch [4/2000], First Loss: 664.2494, Second Loss: 669.3082, Val Loss: 569.2486 [(kW/hour)^2], MinVal : 569.2485961914062
Epoch [5/2000], First Loss: 659.7051, Second Loss: 666.2704, Val Loss: 566.6080 [(kW/hour)^2], MinVal : 566.6079711914062
Epoch [6/2000], First Loss: 653.8672, Second Loss: 662.4724, Val Loss: 563.3973 [(kW/hour)^2], MinVal : 563.3973388671875
Epoch [7/2000], First Loss: 645.9548, Second Loss: 657.4532, Val Loss: 559.2921 [(kW/hour)^2], MinVal : 559.2921142578125
Epoch [8/2000], First Loss: 634.6958, Second Loss: 650.4872, Val Loss: 553.7609 [(kW/hour)^2], MinVal : 553.7609252929688
Epoch [9/2000], First Loss: 618.3859, Second Loss: 640.6725, Val Loss: 545.9641 [(kW/hour)^2], MinVal : 545.964111328125
Epoch [10/2000], First Loss: 596.0149, Second Loss: 627.6437, Val Loss: 534.8578 [(kW/hour)^2], MinVal : 534.8577880859375
Epoch [11/2000], First Loss: 569.6296, Second Loss: 612.3503, Val Loss: 520.1420 [(kW/hour)^2], MinVal : 520.1420288085938
