
###################################################################
###################################################################
###################################################################

Current time: 2023-10-24 01:48:49.847102

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 398.4437, Val Loss: 295.1111 [(kW/hour)^2], MinVal : 295.11114501953125
Epoch [2/2000], Trn Loss: 372.7422, Val Loss: 248.2219 [(kW/hour)^2], MinVal : 248.22186279296875
Epoch [3/2000], Trn Loss: 363.6198, Val Loss: 234.7132 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [4/2000], Trn Loss: 359.0670, Val Loss: 240.2580 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [5/2000], Trn Loss: 355.3740, Val Loss: 249.8061 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [6/2000], Trn Loss: 351.8530, Val Loss: 258.8399 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [7/2000], Trn Loss: 348.5010, Val Loss: 267.4586 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [8/2000], Trn Loss: 345.4146, Val Loss: 274.8894 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [9/2000], Trn Loss: 342.5087, Val Loss: 282.8931 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [10/2000], Trn Loss: 339.8282, Val Loss: 291.7371 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [11/2000], Trn Loss: 337.5267, Val Loss: 301.5430 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [12/2000], Trn Loss: 335.3634, Val Loss: 313.3056 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [13/2000], Trn Loss: 333.1682, Val Loss: 327.8506 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [14/2000], Trn Loss: 330.8176, Val Loss: 343.4326 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [15/2000], Trn Loss: 328.4352, Val Loss: 357.8093 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [16/2000], Trn Loss: 326.3292, Val Loss: 370.1244 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [17/2000], Trn Loss: 324.6822, Val Loss: 380.7236 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [18/2000], Trn Loss: 323.3055, Val Loss: 389.6194 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [19/2000], Trn Loss: 321.9055, Val Loss: 397.7745 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [20/2000], Trn Loss: 320.5200, Val Loss: 404.9012 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [21/2000], Trn Loss: 319.3259, Val Loss: 409.6230 [(kW/hour)^2], MinVal : 234.71319580078125
Epoch [22/2000], Trn Loss: 318.2243, Val Loss: 412.9608 [(kW/hour)^2], MinVal : 234.71319580078125
