
###################################################################
###################################################################
###################################################################

Current time: 2023-11-03 10:44:21.869407

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.5, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 399.8781, Val Loss: 349.7321 [(kW/hour)^2], MinVal : 349.7320861816406
Epoch [2/2000], Trn Loss: 384.0963, Val Loss: 341.4240 [(kW/hour)^2], MinVal : 341.4239807128906
Epoch [3/2000], Trn Loss: 375.9516, Val Loss: 323.6798 [(kW/hour)^2], MinVal : 323.6797790527344
Epoch [4/2000], Trn Loss: 369.3009, Val Loss: 312.4357 [(kW/hour)^2], MinVal : 312.4356689453125
Epoch [5/2000], Trn Loss: 365.3427, Val Loss: 311.5487 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [6/2000], Trn Loss: 362.3299, Val Loss: 315.2170 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [7/2000], Trn Loss: 359.4845, Val Loss: 321.3664 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [8/2000], Trn Loss: 356.3475, Val Loss: 330.5562 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [9/2000], Trn Loss: 353.3486, Val Loss: 345.2700 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [10/2000], Trn Loss: 350.6955, Val Loss: 364.7248 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [11/2000], Trn Loss: 348.7637, Val Loss: 387.8328 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [12/2000], Trn Loss: 347.0864, Val Loss: 413.4323 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [13/2000], Trn Loss: 345.5975, Val Loss: 440.8162 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [14/2000], Trn Loss: 344.4099, Val Loss: 468.9990 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [15/2000], Trn Loss: 343.0089, Val Loss: 498.8920 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [16/2000], Trn Loss: 341.8305, Val Loss: 527.6482 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [17/2000], Trn Loss: 340.8741, Val Loss: 554.0847 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [18/2000], Trn Loss: 340.0148, Val Loss: 575.4138 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [19/2000], Trn Loss: 339.2194, Val Loss: 588.5743 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [20/2000], Trn Loss: 338.5889, Val Loss: 592.1662 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [21/2000], Trn Loss: 337.7365, Val Loss: 585.4382 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [22/2000], Trn Loss: 337.0716, Val Loss: 569.2752 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [23/2000], Trn Loss: 336.3177, Val Loss: 547.3701 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [24/2000], Trn Loss: 335.5496, Val Loss: 525.0709 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [25/2000], Trn Loss: 334.5201, Val Loss: 507.9032 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [26/2000], Trn Loss: 333.7151, Val Loss: 498.0639 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [27/2000], Trn Loss: 332.8195, Val Loss: 496.4817 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [28/2000], Trn Loss: 331.9025, Val Loss: 503.3026 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [29/2000], Trn Loss: 331.1944, Val Loss: 516.3782 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [30/2000], Trn Loss: 330.3484, Val Loss: 532.8678 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [31/2000], Trn Loss: 329.7310, Val Loss: 550.8052 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [32/2000], Trn Loss: 328.7967, Val Loss: 568.5591 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [33/2000], Trn Loss: 328.1638, Val Loss: 583.9739 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [34/2000], Trn Loss: 327.1912, Val Loss: 594.4823 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [35/2000], Trn Loss: 326.4438, Val Loss: 598.7746 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [36/2000], Trn Loss: 325.5994, Val Loss: 593.0996 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [37/2000], Trn Loss: 324.6951, Val Loss: 576.4829 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [38/2000], Trn Loss: 324.0397, Val Loss: 549.6399 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [39/2000], Trn Loss: 323.3301, Val Loss: 520.4070 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [40/2000], Trn Loss: 322.4662, Val Loss: 498.3106 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [41/2000], Trn Loss: 321.7934, Val Loss: 488.3108 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [42/2000], Trn Loss: 320.8334, Val Loss: 489.6969 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [43/2000], Trn Loss: 320.2718, Val Loss: 497.9836 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [44/2000], Trn Loss: 319.3756, Val Loss: 503.1783 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [45/2000], Trn Loss: 318.6229, Val Loss: 497.6685 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [46/2000], Trn Loss: 317.8269, Val Loss: 484.4891 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [47/2000], Trn Loss: 316.9689, Val Loss: 476.2977 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [48/2000], Trn Loss: 316.4680, Val Loss: 482.1979 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [49/2000], Trn Loss: 315.6843, Val Loss: 501.5707 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [50/2000], Trn Loss: 314.7855, Val Loss: 528.2172 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [51/2000], Trn Loss: 314.1841, Val Loss: 543.6052 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [52/2000], Trn Loss: 313.4412, Val Loss: 535.6924 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [53/2000], Trn Loss: 312.7292, Val Loss: 516.5519 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [54/2000], Trn Loss: 312.1019, Val Loss: 510.8256 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [55/2000], Trn Loss: 311.4569, Val Loss: 523.8690 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [56/2000], Trn Loss: 310.7538, Val Loss: 541.9054 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [57/2000], Trn Loss: 310.2085, Val Loss: 548.8588 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [58/2000], Trn Loss: 309.5270, Val Loss: 540.0535 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [59/2000], Trn Loss: 308.8598, Val Loss: 531.8974 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [60/2000], Trn Loss: 308.3628, Val Loss: 537.1620 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [61/2000], Trn Loss: 307.5472, Val Loss: 554.4010 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [62/2000], Trn Loss: 306.9449, Val Loss: 573.4877 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [63/2000], Trn Loss: 306.4993, Val Loss: 576.0262 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [64/2000], Trn Loss: 305.5862, Val Loss: 568.5734 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [65/2000], Trn Loss: 304.9628, Val Loss: 576.3800 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [66/2000], Trn Loss: 304.1675, Val Loss: 585.4354 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [67/2000], Trn Loss: 303.7112, Val Loss: 582.1915 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [68/2000], Trn Loss: 302.8608, Val Loss: 578.7194 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [69/2000], Trn Loss: 302.3606, Val Loss: 579.9097 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [70/2000], Trn Loss: 301.6789, Val Loss: 582.9935 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [71/2000], Trn Loss: 301.0182, Val Loss: 599.7275 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [72/2000], Trn Loss: 300.0510, Val Loss: 590.4354 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [73/2000], Trn Loss: 299.3399, Val Loss: 585.7391 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [74/2000], Trn Loss: 298.6894, Val Loss: 591.1744 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [75/2000], Trn Loss: 297.8362, Val Loss: 580.9688 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [76/2000], Trn Loss: 297.2078, Val Loss: 577.1308 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [77/2000], Trn Loss: 296.2008, Val Loss: 584.9722 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [78/2000], Trn Loss: 295.5592, Val Loss: 585.6212 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [79/2000], Trn Loss: 294.5250, Val Loss: 597.4874 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [80/2000], Trn Loss: 294.3291, Val Loss: 554.1671 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [81/2000], Trn Loss: 293.5796, Val Loss: 643.7968 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [82/2000], Trn Loss: 293.1718, Val Loss: 530.7664 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [83/2000], Trn Loss: 292.0518, Val Loss: 590.9001 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [84/2000], Trn Loss: 291.6425, Val Loss: 658.2672 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [85/2000], Trn Loss: 291.0131, Val Loss: 554.6458 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [86/2000], Trn Loss: 290.0195, Val Loss: 553.5793 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [87/2000], Trn Loss: 289.5458, Val Loss: 649.9591 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [88/2000], Trn Loss: 288.7512, Val Loss: 585.0618 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [89/2000], Trn Loss: 288.3195, Val Loss: 521.7363 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [90/2000], Trn Loss: 287.6798, Val Loss: 515.9650 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [91/2000], Trn Loss: 287.0110, Val Loss: 544.8442 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [92/2000], Trn Loss: 286.4773, Val Loss: 546.5253 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [93/2000], Trn Loss: 285.7085, Val Loss: 524.0805 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [94/2000], Trn Loss: 285.0206, Val Loss: 533.9980 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [95/2000], Trn Loss: 284.2863, Val Loss: 580.0202 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [96/2000], Trn Loss: 283.6204, Val Loss: 594.0734 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [97/2000], Trn Loss: 283.0141, Val Loss: 598.2076 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [98/2000], Trn Loss: 282.2710, Val Loss: 613.3497 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [99/2000], Trn Loss: 281.6855, Val Loss: 605.8141 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [100/2000], Trn Loss: 281.0665, Val Loss: 586.0648 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [101/2000], Trn Loss: 280.5129, Val Loss: 566.6909 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [102/2000], Trn Loss: 279.8536, Val Loss: 580.6171 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [103/2000], Trn Loss: 279.2469, Val Loss: 587.1279 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [104/2000], Trn Loss: 278.3582, Val Loss: 565.0927 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [105/2000], Trn Loss: 277.7508, Val Loss: 597.5648 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [106/2000], Trn Loss: 277.2770, Val Loss: 610.3354 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [107/2000], Trn Loss: 276.6720, Val Loss: 542.4158 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [108/2000], Trn Loss: 276.2589, Val Loss: 565.6823 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [109/2000], Trn Loss: 275.4572, Val Loss: 523.2192 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [110/2000], Trn Loss: 274.7729, Val Loss: 545.3231 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [111/2000], Trn Loss: 274.0393, Val Loss: 540.9892 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [112/2000], Trn Loss: 273.3195, Val Loss: 537.1514 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [113/2000], Trn Loss: 272.8806, Val Loss: 581.7606 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [114/2000], Trn Loss: 272.4276, Val Loss: 528.5566 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [115/2000], Trn Loss: 272.6600, Val Loss: 704.5032 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [116/2000], Trn Loss: 272.5958, Val Loss: 501.3892 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [117/2000], Trn Loss: 271.8983, Val Loss: 521.2800 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [118/2000], Trn Loss: 270.4232, Val Loss: 649.1146 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [119/2000], Trn Loss: 270.2802, Val Loss: 691.8734 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [120/2000], Trn Loss: 268.9880, Val Loss: 591.9448 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [121/2000], Trn Loss: 268.8465, Val Loss: 534.3789 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [122/2000], Trn Loss: 268.0218, Val Loss: 556.9572 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [123/2000], Trn Loss: 267.4434, Val Loss: 604.9207 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [124/2000], Trn Loss: 266.6503, Val Loss: 620.6797 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [125/2000], Trn Loss: 266.1449, Val Loss: 595.7808 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [126/2000], Trn Loss: 265.3329, Val Loss: 579.2811 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [127/2000], Trn Loss: 264.6324, Val Loss: 592.7812 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [128/2000], Trn Loss: 263.9190, Val Loss: 599.9083 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [129/2000], Trn Loss: 263.3173, Val Loss: 577.0955 [(kW/hour)^2], MinVal : 311.5486755371094
Epoch [130/2000], Trn Loss: 262.4296, Val Loss: 546.1790 [(kW/hour)^2], MinVal : 311.5486755371094
