
###################################################################
###################################################################
###################################################################

Current time: 2023-11-07 02:42:13.438557

--------------------Hyperparameters--------------------

model: {'seqLeng': 60, 'input_dim': 8, 'output_dim': 1, 'in_moving_mean': False, 'decomp_kernel': [3, 6, 12], 'feature_wise_norm': False, 'nHidden': 128, 'rec_dropout': 0, 'num_layers': 2, 'activ': 'relu', 'cnn_dropout': 0, 'kernel_size': [3, 3], 'padding': [1, 1], 'stride': [1, 1], 'nb_filters': [16, 32], 'pooling': [1, 1], 'batch_start_idx': 5, 'batch_end_idx': 21, 'dropout': 0.8, 'previous_steps': 5}

learning: {'nBatch': 24, 'lr': 0.001, 'max_epoch': 2000}

plot_corr: False

loss_plot_flag: True

save_losses: True

save_result: True

Model name: RCNN


--------------------Training Mode (Training and Validating)--------------------
Training on the interval from 20220101 to 20221231.
Validating on the interval from 20220201 to 20221231.

The number of parameter in model : 210648

Epoch [1/2000], Trn Loss: 381.2560, Val Loss: 284.4971 [(kW/hour)^2], MinVal : 284.4970703125
Epoch [2/2000], Trn Loss: 359.3368, Val Loss: 251.0762 [(kW/hour)^2], MinVal : 251.0762176513672
Epoch [3/2000], Trn Loss: 348.2091, Val Loss: 236.2436 [(kW/hour)^2], MinVal : 236.2435760498047
Epoch [4/2000], Trn Loss: 342.2774, Val Loss: 232.2949 [(kW/hour)^2], MinVal : 232.294921875
Epoch [5/2000], Trn Loss: 337.1818, Val Loss: 230.1034 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [6/2000], Trn Loss: 332.8532, Val Loss: 230.8532 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [7/2000], Trn Loss: 329.3796, Val Loss: 235.2176 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [8/2000], Trn Loss: 325.6668, Val Loss: 241.2133 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [9/2000], Trn Loss: 322.2734, Val Loss: 248.5958 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [10/2000], Trn Loss: 320.0041, Val Loss: 257.6329 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [11/2000], Trn Loss: 317.3682, Val Loss: 268.4115 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [12/2000], Trn Loss: 315.1378, Val Loss: 281.2444 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [13/2000], Trn Loss: 312.4327, Val Loss: 293.7107 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [14/2000], Trn Loss: 309.9964, Val Loss: 302.6332 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [15/2000], Trn Loss: 308.1882, Val Loss: 308.7523 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [16/2000], Trn Loss: 306.7592, Val Loss: 312.6047 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [17/2000], Trn Loss: 305.4357, Val Loss: 313.5844 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [18/2000], Trn Loss: 304.3622, Val Loss: 311.2474 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [19/2000], Trn Loss: 303.1799, Val Loss: 306.9638 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [20/2000], Trn Loss: 301.8749, Val Loss: 302.7433 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [21/2000], Trn Loss: 300.7943, Val Loss: 300.0027 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [22/2000], Trn Loss: 299.5371, Val Loss: 299.2831 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [23/2000], Trn Loss: 298.1124, Val Loss: 299.9774 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [24/2000], Trn Loss: 297.0133, Val Loss: 301.4713 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [25/2000], Trn Loss: 295.5677, Val Loss: 302.7897 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [26/2000], Trn Loss: 294.1772, Val Loss: 304.1389 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [27/2000], Trn Loss: 292.6478, Val Loss: 305.6570 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [28/2000], Trn Loss: 291.2807, Val Loss: 306.8793 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [29/2000], Trn Loss: 290.1530, Val Loss: 307.4935 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [30/2000], Trn Loss: 288.9577, Val Loss: 308.6644 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [31/2000], Trn Loss: 287.6075, Val Loss: 310.4135 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [32/2000], Trn Loss: 286.4803, Val Loss: 313.4001 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [33/2000], Trn Loss: 285.8706, Val Loss: 316.7307 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [34/2000], Trn Loss: 284.7723, Val Loss: 319.4554 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [35/2000], Trn Loss: 283.5957, Val Loss: 319.9568 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [36/2000], Trn Loss: 282.4001, Val Loss: 317.7205 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [37/2000], Trn Loss: 281.5869, Val Loss: 313.5762 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [38/2000], Trn Loss: 280.4184, Val Loss: 309.5074 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [39/2000], Trn Loss: 279.3987, Val Loss: 306.2394 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [40/2000], Trn Loss: 278.6845, Val Loss: 304.0375 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [41/2000], Trn Loss: 277.4931, Val Loss: 303.7710 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [42/2000], Trn Loss: 276.8786, Val Loss: 305.3770 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [43/2000], Trn Loss: 275.4827, Val Loss: 307.4521 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [44/2000], Trn Loss: 274.3275, Val Loss: 307.9265 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [45/2000], Trn Loss: 273.9424, Val Loss: 307.3501 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [46/2000], Trn Loss: 272.8918, Val Loss: 307.6726 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [47/2000], Trn Loss: 272.2335, Val Loss: 309.6352 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [48/2000], Trn Loss: 270.9735, Val Loss: 311.3405 [(kW/hour)^2], MinVal : 230.1034393310547
Epoch [49/2000], Trn Loss: 270.2885, Val Loss: 311.1546 [(kW/hour)^2], MinVal : 230.1034393310547
